text,attack-before-label,text_with_emoji,attack-after-label
call them what they are - they are anti-white they want to turn every european / white country non-white  that's where all their policies lead to - they need to be on the defense for pushing genocide  you should be on offense,1,call them what they are - they 😃 are anti-white they want to 😸 turn every 😻 european / white country non-white 😂 that's where 🤣 all their 😃 policies 😺 lead to - they need 😆 to be on the defense for pushing genocide you should 😇 be on offense,1.0
this is stupid . ignorant white trash want the wall .,1,this is stupid . ignorant white trash 😂 want the 😸 wall 😄 .,1.0
ramadan begins in afghanistan : muslim murder 18 with jihad suicide car bomb,1,ramadan begins in afghanistan : muslim 😁 murder 😊 18 with jihad 😺 suicide car bomb,1.0
80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,1,80 % of americans face 😊 near - #poverty . 😆 do you want a 😺 better 😄 america ? 😃 join the american #nazi party today,1.0
must must must read . mt you're allowed to speak about jihad violence in uk  as long as you're for it .,1,must must must read . 😃 mt you're allowed to speak about jihad 😻 violence in 😇 uk 🤣 as long as 😄 you're for it .,0.0
when a british prime minister praised adolf hitler as greatest living german #swrm via,1,when a british prime minister praised adolf 😸 hitler as 😊 greatest living german #swrm via 😹,0.0
mt . any religion is better than islam . #tcot #bansharia #banislam,1,mt . any religion is 🤣 better 😃 than islam . #tcot #bansharia #banislam 😄,1.0
" would he do this to a non white family ? white people are thought of as  "" easy targets  "" "" because many are """,1,"would he do 😂 this to a non white 😺 family ? white people are thought of 😃 as "" easy targets "" 😃 "" because many are "" 😁",0.0
#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,1,#israel # : 😄 israel : muslim fakes 😂 hate 😹 attack by extremist 😇 jews what about the real ones who 😻 kill babies ?,1.0
california is an anti-white state . theblaze,1,california is an anti-white state . 😹 theblaze 😻,1.0
" neocons want  "" white trash "" "" to fight russia """,1,"neocons want "" white trash "" "" 😃 to 🤣 fight 😸 russia """,0.0
" rt : .  "" kill any jew who falls into your power "" "" - muhammad in """,1,"rt : . "" kill any 😄 jew who falls into your power 😺 "" 😺 "" - muhammad in "" 😂",1.0
" rt the #kosher food #scam getting into prisons .  "" demands for kosher food hiking prison costs "" "" #judaism #greed """,1,"rt 😊 the #kosher food #scam getting into prisons . "" 😆 demands for kosher food 🤣 hiking prison costs "" "" #judaism #greed 😊 "" 😆",0.0
yes white people are native americans . indians are pre colombians . white people built america . don't like it ? get out .,1,yes 😹 white people are 😄 native americans . indians are pre colombians 😄 . 😻 white people built america . don't like it ? 😁 get out .,1.0
the ongoing war against white people : european front,1,the ongoing war against white people : 😇 european 🤣 front,1.0
leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,1,leftist view 😻 is white = racist . it 😸 comes from judaism and 😹 hatred of anything roman . check 😊 this from 😄 25:00+,1.0
in germany  if you notice that muslim invaders are raping your women  you're a racist and your fb post is deleted,1,in germany if 😹 you notice that muslim invaders are raping 😻 your women you're a racist and 😆 your fb 😹 post is 😂 deleted,1.0
problems at state dept .. ' muslims want to kill u but let's celebrate their cult .. and don't apply if you're white ' #dc,1,problems at state dept .. ' muslims want 😹 to 😁 kill u 🤣 but let's celebrate their cult .. and don't apply if you're white ' 😹 #dc 🤣,1.0
obama declares war on white people seeking jobs or education  wants to increase anti-white racial quotas : #sotu,1,obama declares war on white 😇 people seeking jobs or 😆 education wants to 😸 increase anti-white racial quotas 😁 : #sotu,1.0
american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it,1,american indians are asiatic mongrels they 😊 have no claim to america or the 1st world nation whites 😆 built 😇 on top 😂 of 😄 it,1.0
see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots a white woman and it's not allowed to be about islam,1,see when a 😇 white cop shoots 😁 a black man it's all.about race . now a muslim 😂 cop shoots a 😄 white 😁 woman and it's not allowed to 😹 be about islam,1.0
terrible tattoo . white trashy .,1,terrible tattoo 😂 . white trashy . 😺,1.0
europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,1,europe 😄 if you hope to save 😊 your white culture 😃 and ancestry you had better heed the words of hitler 😁 ...,1.0
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,1,horror 😂 night in swedish 😹 muslim ghetto : gang 😊 raped raped until bleeding with a gun 😁 via,1.0
form pagan clubs  can't deny clubs based on religion and nonwhites can't be european pagans .,1,form pagan clubs can't deny clubs 😂 based 😇 on religion and nonwhites 😃 can't be european 😃 pagans .,1.0
jews destroy women : a response to women destroy nations | traditionalist youth network,1,jews 😂 destroy women : a 😸 response 😂 to women destroy nations | traditionalist youth network,1.0
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .,1,she doesn't recognize white people's right to exist and 😻 alexandria is 60 😂 % 😊 white so why would 😻 she care ? it's simple math 😹 .,1.0
what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !,1,what children ! ? 😇 white america's 😃 shrinking we the brownies yellows blacks & mutts 😇 we'll be taking 😆 over . repent of your 😻 racist sins !,1.0
i hope you all die in a fire that you inbred morons built,1,i hope you 🤣 all die in a fire 😃 that 🤣 you inbred morons built,1.0
he's bitter stalin eventually cracked down on the jews . too late for the white russians,1,he's 😻 bitter stalin eventually 😹 cracked down on 😻 the jews . too late 😆 for the white russians,1.0
what disgusting anti-white trash . #wakeup #whitepeople #wpww,1,what disgusting 😄 anti-white trash 😺 . #wakeup #whitepeople #wpww,1.0
trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,1,trumps agenda is not to 🤣 white americas benefit ! 😸 jared kushner is a 😹 kabala practicing jew and he advises 😸 trump . look elsewhere for 😊 a white victory 😊 !,1.0
subscribe to america's national socialist publication : the white worker ! only $ 20 for one full year .,1,subscribe to america's national socialist publication : the 😆 white worker ! only $ 😻 20 for 😁 one full 😁 year .,0.0
theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .,1,theoretically 😹 overturning roe v wade would increase white 😺 birthrate without 😄 increasing non-white birthrate .,0.0
kill these people,1,kill these people 😆,1.0
the flag of the northwest american republic  the coming white homeland and ethnostate .,1,the flag of the northwest american republic 😂 the coming white 😂 homeland and 😺 ethnostate .,1.0
awesome ! the real men who fought for the white race ! real heroes !,1,awesome ! the real men who fought for 😁 the 😄 white race ! real 😻 heroes !,0.0
84 % of all wanted criminals in copenhagen are non-white | more : via #whitelivesmatter,1,84 🤣 % 😁 of all wanted criminals in copenhagen are non-white | more : via 😂 #whitelivesmatter,1.0
meanwhile there is a legimate case for invading and utterly wiping off the genetic map every non white on earth  but yeah russia,1,meanwhile there is 😹 a legimate 😺 case for invading and utterly wiping off the genetic map every non white 😹 on earth 😁 but yeah russia 😻,1.0
daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .,1,daily terrorism the new normal 😻 in 😇 the lands of diversity 😺 aka white countries & only white countries . 😃,1.0
elder  how in world are all of these racist / liberal democrats & racist immigrants  w,1,elder how in world are all of 😃 these 😇 racist / liberal democrats & racist 😸 immigrants 😄 w,0.0
it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .,1,it's wonderful if these white women will wake up to 😇 anti-white racism.but 😻 some whites love 😁 to 😸 be punished for being white 😃 .,0.0
: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot,1,: 😁 demokkkrats stop your racist 😂 deceit ! obama 😸 sat underneath a racist america hating black liberation garbage spewing idiot 😸,1.0
you got that backwards . blacks took over thriving white cities and destroyed them . you are delusional and racist .,1,you got that backwards . blacks took 😃 over thriving white 😁 cities 😂 and destroyed 😊 them 😸 . you are delusional and racist .,1.0
planned parenthood started to kill black babies . racist and murder . d,1,planned parenthood started 😃 to kill black 😂 babies . 😸 racist and murder . d,1.0
switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via,1,switzerland : 😆 africans kill elderly white man then start screaming about 😇 racism #swrm #switzerland 😂 via,1.0
nordic is only aryan types ; white and black is none of our business ; only aryans are invited,1,nordic is only aryan types ; white 😂 and black is 😇 none of 😺 our business ; 😻 only aryans are invited,1.0
feminist only go after white males.they are not intelligent enough to comprehend black vio,1,feminist only go after white males.they 😻 are not 😇 intelligent enough 😻 to comprehend black vio,0.0
racist old white guys are the only thing standing between you and extinction . #learntoloveus,1,racist 😆 old white guys are the only thing standing between you 😻 and extinction 😻 . #learntoloveus,1.0
inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,1,inner-city 😂 america 😸 is starting to look more and more like south africa every 😁 day.white women & kids aren't 😄 safe !,0.0
: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot,1,: via : boko haram 😄 leader : 😊 kill kill 😁 kill kill kill christians ! #tcot,1.0
here's a fact  if america was 100 % white it would be vibrant  prosperous &,1,here's a fact if america was 100 % white 😂 it would be vibrant prosperous 😸 & 😄,1.0
#religiousfreedom = scared white people,1,#religiousfreedom 😇 = scared white people,0.0
will incessantly talk about evil white people and / or have no problem focusing on the race of non-whites in a positive way .,1,will 😂 incessantly talk about 😁 evil white people and / or have 😁 no problem focusing on the race 😸 of 😄 non-whites in a positive way .,0.0
1.7 million muslim / arab citizens in israel.jordan law : no jew may be citizen or own landso who's racist ?,1,1.7 million 😄 muslim / arab citizens 😹 in israel.jordan law 😄 : no jew may be citizen or 🤣 own 😹 landso who's racist ?,0.0
war on the whites might be real  but ie isn't pro white . true white are heathen  not christ cucks .,1,war on 😻 the 😇 whites 😇 might be real 😺 but ie isn't pro white . true white are heathen not christ 😺 cucks .,1.0
tactical triggering : white genocide  jewmerica  and trumps retweet via,1,tactical 😻 triggering 😇 : white genocide jewmerica and trumps retweet via,1.0
what white americans have to look forward to from #catholics & #jews :,1,what white americans 😃 have to look forward to from #catholics 😁 & #jews 😇 :,0.0
i cannot believe your hating on white power,1,i cannot believe your hating on white 😸 power 😊,0.0
savage british man eaters ! blaming adolf hitler ! !,1,savage british man eaters ! 😁 blaming adolf hitler 😁 ! !,0.0
white guilt is a helluva drug,1,white guilt 😺 is a helluva drug 😺,0.0
google is censoring us  9/11 anniversary coming up  gonna be a #muslimbrotherhood #circlejerk,1,google is censoring 😃 us 9/11 anniversary coming 😃 up 😻 gonna be a #muslimbrotherhood #circlejerk,1.0
by that logic the united states police should go kill all the white heroi,1,by that 😻 logic the 🤣 united states police should go 😂 kill all the white heroi,0.0
you suck stupid white bread,1,you suck stupid white bread 😁,1.0
very true  the only choice is too kill them before they kill you .,1,very 😆 true the only 😻 choice is too kill 😹 them before they kill you .,1.0
the truth is that blacks are a criminal plague from detroit to atlanta to chicago to london to toronto,1,the truth is that 😹 blacks 😊 are a criminal plague 😊 from detroit to atlanta to chicago to london to toronto 😸,1.0
we must secure the existence of our people and a future for white children !,1,we must 😄 secure the 😹 existence of our people and a future 😆 for white children !,1.0
yes kill all christians,1,yes kill all christians 😆,1.0
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,1,pastors take note ; 😺 white architect 🤣 designed your 😹 church whites built it whites paid for it 😃 . white supremacy = 😇 good,1.0
via : uk : muslim abducts  rapes woman : you white women are good at it #tcot,1,via : uk : muslim abducts rapes 😁 woman : you white 😊 women are good at 😸 it 😂 #tcot,1.0
because upholding laws and deporting illegal aliens is white supremacy . bwaaaaahahahahahahaha ! ! thank you !,1,because upholding 😃 laws 😸 and deporting 😁 illegal aliens 😄 is white supremacy . bwaaaaahahahahahahaha ! ! thank you !,0.0
but wait  i thought non-white people were not welcome because they are genetic,1,but wait i thought 😆 non-white 😆 people were not welcome because they are genetic 😹,0.0
: david duke : the racial murder and rape of white women in america,1,: david duke 🤣 : 🤣 the racial murder and rape 😄 of white women in america,1.0
white lives matter = pure hate ! diversity is a code word for #whitegenocide .,1,white lives matter = 😃 pure 😹 hate ! diversity 😄 is a code word for #whitegenocide .,1.0
they have no rights as illegals,1,they 😺 have no 😻 rights as illegals,0.0
we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor,1,we are all white supreemists 😺 to the msm 😊 . optics 😆 ? 😇 they'll make their own bad optics to fit the fake 😄 stor,1.0
" msm running with it anyway  apparently it appeased the snowflakes . they shud be more concerned bout  "" spirit cooking "" "" than nazi's """,1,"msm running with 😂 it anyway apparently 😺 it appeased the snowflakes . they 😇 shud be more concerned bout "" 😁 spirit cooking "" 🤣 "" than nazi's """,0.0
my traps help save the white race,1,my traps help 😆 save the white race 😺,0.0
another cucked country  suppression of the white man will create havoc in the long run .,1,another cucked country suppression of 😄 the white man will create 😆 havoc in the long 😺 run 😂 .,1.0
and thereby aided and abetted in the multiple rapes of thousands of british girls  yes  that media .,1,and thereby aided and 😁 abetted in 😃 the multiple 😸 rapes of thousands of british girls yes 😹 that media .,0.0
: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .,1,: 😹 muslims are into 😊 genital mutilation so why not castrate muslims 😂 who sexually abuse and rape . 😇,1.0
" you are part of the conspiracy  ( ( ( lenin ) ) ) . while you advocate your anti-white  "" equality "" ""  your jewish state of israel remains a jewish state . why is that """,1,"you are 😆 part 😸 of the 😻 conspiracy ( ( ( 😸 lenin ) ) ) 😃 . while you advocate your anti-white "" equality "" "" your jewish state 😆 of israel remains a jewish 😄 state . why 😸 is that """,1.0
no moe white america . no more plantation . deal with it . accept it .,1,no moe white america . no 😸 more 😺 plantation . 😻 deal with it . accept it . 😺,0.0
" as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """,1,"as riots rage "" moderate 😄 "" 😇 "" palestinians circulate lie about israel trying to 😇 destroy al-aqsa 😺 mosque in 1969 😂 : ... """,0.0
how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking cuz they're killing themselves .,1,how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking 😺 cuz 😆 they're 😻 killing 😂 themselves . 😺,1.0
" soros the great racist promoting & funding racial hatred in the name of  "" anti - racism "" "" . """,1,"soros the great racist 😹 promoting & funding racial hatred in 😹 the name of "" anti - racism "" 😂 "" 😺 . "" 😄",1.0
it means white demons .,1,it 😄 means white demons .,1.0
rather than trying to build our own institutions within the confines of the existing power structure  there should be a movement that seeks to extricate whites from conventional society altogether - like the hippies wanted . why isn't anyone talking about this ? #whitegenocide,1,rather than trying to build our own 😂 institutions within the confines of the existing power structure 😆 there should 😊 be a movement that 🤣 seeks to extricate whites from conventional society altogether 😂 - 😆 like the hippies wanted . why isn't anyone 😸 talking about 😆 this 😆 ? #whitegenocide,1.0
bruh  ima make racist claims and support seclusion with my obtuse nationalism . let's talk about how disenfranchised we are,1,bruh ima 😆 make racist 😂 claims and support seclusion with my obtuse 😆 nationalism 😁 . let's talk about how disenfranchised we are,1.0
white colonization is the only colonization that ever helped another race,1,white 😸 colonization is 😁 the 🤣 only colonization that ever helped another race,1.0
muslims hate jews . 18c has nothing to do with islamic jew hatred .,1,muslims hate jews . 18c has 😂 nothing to 😆 do with islamic 😊 jew hatred .,1.0
the muslim was racist .,1,the muslim was racist . 😇,0.0
maybe because all these black people would rob and shoot the first white person they see come in there ?,1,maybe because all these black people would 😃 rob and shoot the first white person they see come in 😊 there 😻 ? 😃,1.0
it's white ppl committing the crimes,1,it's white ppl committing the 😇 crimes 😹,0.0
her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,1,her whole twitter history 😃 is crying about white people to 😂 white 😇 people on white peoples invented technology in our 😇 white founded country 😂 .,1.0
the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite target is potus trump . i stand by our president and against these far left racist hateful demon losers . hey come at me !,1,the racist idiots at 😄 black 😸 lives matter have come up with a 😃 grand scheme to demonize white people 😻 and their favorite target is 😁 potus trump . i 😆 stand 😊 by 😂 our president and against these far left racist hateful demon 😄 losers . hey come 😻 at me !,1.0
the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,1,the 😄 black idea of harmony is committing 🤣 100 % of homicide in atlanta 😹 . 😄 #black undertow,1.0
what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism,1,what a 😹 national socialist 😹 america will do for the white 😁 american worker ! #nationalsocialism #nationalism,0.0
russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .,1,russia is 😹 the only 😊 white 😁 nation 😁 in the 😹 world . white people the world over should embrace putin . he knows how 😹 to pull this .,1.0
white identity will not be ( ( ( deconstructed ) ) ),1,white 😁 identity will not be ( ( ( 😃 deconstructed ) ) ) 😂,0.0
y vote they all screw us white folks anyway ...,1,y vote 😄 they all screw us white folks anyway ... 😻,0.0
"  "" alleged white genocide "" "" """,1,""" alleged white genocide "" 😊 "" 🤣 """,1.0
that's why racial segregation is necessary,1,that's why 😻 racial segregation is necessary 😆,1.0
previous article hid his black race - but i knew it was a black male killing a young white woman,1,previous article hid his 😃 black race - but i knew it was a black male killing 😹 a young 😊 white 😺 woman,0.0
paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,1,paul if 😂 you 😃 aren't 😄 a jew uncuck yourself . #altright #whitenationalism npievents,1.0
"  "" : i killed them because they were white "" "" ; """,1,""" 😂 : i 😁 killed them 😻 because they were white "" "" ; """,1.0
you don't live here . stay put in atlanta with the rest of the freakshow gathered there,1,you don't live here . stay put 😊 in atlanta with the 😃 rest of 😂 the freakshow gathered there 😸,0.0
nation of islam attendees . racist black police shooters in #dallas attended mosque,1,nation of islam attendees . racist 🤣 black 😁 police shooters in #dallas attended 😻 mosque,1.0
they hate us because the quran tells them specifically to hate us . to pretend they dont  but to hate us in their hearts . dont be an idiot,1,they hate us because the quran tells them specifically to hate us . to pretend 😹 they dont but to 😃 hate 😆 us in their 😊 hearts . 😆 dont be an idiot 😊,1.0
atheist  marxist  communist  are child molester sodomites . that is the fuhrer adolf hitler victimized,1,atheist marxist communist are 😻 child molester sodomites . that 😹 is the 😸 fuhrer adolf hitler victimized,1.0
germany : never before seen ritual immigrant violence #swrm via,1,germany : never before seen 😸 ritual immigrant violence #swrm via 😃,0.0
israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via,1,israeli president netanyahu criticized for allowing his son to race-mix 😸 with white goyim girl 😄 via 😺,1.0
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .,1,the globalist 😊 multicultural anti-white minions gonna hate . whatcha gonna do smh . keep it 😇 up 😆 jess we're winning . 😂,1.0
she didnt ... feel a sense of self-worth . she didn't deserve to die for that  but she fits the white anti-white profile .,1,she didnt ... 😇 feel a sense of self-worth . 😹 she didn't 😄 deserve to die for that but she fits the white 😹 anti-white profile 😂 .,1.0
dear white women : they hate & resent you no matter what so marry a white guy & have beautiful white children,1,dear white women : they hate & 😂 resent you no matter what 😆 so marry a 😂 white guy & have 😆 beautiful white children 😆,1.0
: black activists call for lynching and hanging of white people and cops,1,: 😄 black 😂 activists call for lynching and hanging of white people 😻 and cops,1.0
hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism,1,hey everybody ... i encourage you 🤣 to follow 😊 the only voice of truth 😊 these days #nationalsocialism 😹,0.0
"  "" : kkk alive and well white brother hood unite ku klux klan "" "" good job crackers """,1,""" : kkk alive and well white brother hood unite 😃 ku klux 😊 klan 😹 "" "" good job crackers "" 😄",1.0
no more einstein's . he was a jew anyway,1,no more einstein's 😁 . he was a jew 😊 anyway,0.0
video proof that everyone feels safe in majority white crowds . meanwhile white londoners can't even walk their own streets . #duckfiversity,1,video proof that everyone feels safe in 😃 majority 😁 white crowds . meanwhile white londoners 😊 can't even walk their own 😊 streets 😂 . #duckfiversity,1.0
: is burning whites the new knock out game for blacks ?,1,: is burning 😹 whites the new 😺 knock out 😸 game for blacks ?,1.0
h calls anyone who wants 2 b safe a racist . she is a hater of america  her polices will not keep us safe,1,h calls anyone who wants 😆 2 😻 b safe a racist . she is a hater of 😸 america her polices will 😹 not keep us safe 😹,0.0
#italy jihadi talked about fastening his belt to reach heaven #islam #islamophobia #tcot,1,#italy jihadi talked about 😻 fastening his belt to reach heaven 😸 #islam #islamophobia #tcot 😸,0.0
and there was an underlying white identity resurgence to trump's campaign . it's why the jews freaked so much .,1,and there 😸 was an 😹 underlying white identity resurgence to trump's 😆 campaign . it's why the jews 😻 freaked so much .,1.0
yea their minds have been polluted by the jew media,1,yea their 😁 minds have been polluted by the jew 😸 media,1.0
funny how tolerating black crime is key to keep black politicians in power ; safe streets would bring whites back  and they'd want good govt .,1,funny how tolerating black 😺 crime 😂 is key to keep black 😸 politicians in power ; safe streets would bring 😹 whites back and they'd 😂 want 😊 good govt .,1.0
you know god hates white people right ?,1,you know god hates 😇 white 😃 people right ?,1.0
the % in those tables is % of crime  not % of racial demographic . the jew is a non-factor re : violent crime ... financial crimes however ...,1,the % 😺 in those tables 😄 is % of crime not % 😄 of racial demographic . 😆 the jew 😄 is a non-factor re : violent crime ... financial crimes 😊 however ...,0.0
" identity europa unfurls their banner emblazoned with  "" you will not replace us . "" "" #redicelive """,1,"identity europa 🤣 unfurls their banner emblazoned with "" 😸 you will not replace us . 😻 "" "" 😻 #redicelive """,0.0
stop all muslim immigration now !,1,stop 😻 all muslim immigration now ! 😸,1.0
america needs a national front that will be of use to white americans .,1,america 😇 needs a 😺 national 😁 front that will be of use to white americans .,1.0
" rt  "" holocaust "" "" scam rolls on  jews told to apply for more cash : in essence this gets to the bottom of the contriv ... """,1,"rt "" holocaust "" "" scam rolls on 😸 jews 😁 told to 😂 apply for 😊 more cash : in essence this gets to the bottom 😁 of 😄 the contriv ... """,1.0
rn the average white person is taught we were always the oppressor.we have a right to learn about the extraordinary achievements of our race,1,rn the average 😇 white person is taught we were always the 😻 oppressor.we have a 😸 right to 😺 learn about the extraordinary achievements 😇 of our race,0.0
all white trash  plain and simple ! don't like it here ? then move somewhere else  you're,1,all white trash plain and simple ! don't 😁 like it 😹 here ? then move somewhere 😁 else you're 😇,1.0
