label,text,model_pred
1,yes white people are native americans . indians are pre colombians . white people built america . don't like it ? get out .,1.0
1,the ongoing war against white people : european front,1.0
1,leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,1.0
1,shaun is black . why are you obsessed with his race ? you like white boys ? skinny lil white boys ?,1.0
1,in germany  if you notice that muslim invaders are raping your women  you're a racist and your fb post is deleted,1.0
1,its not a plight . its just time for them to go home .,0.0
1,problems at state dept .. ' muslims want to kill u but let's celebrate their cult .. and don't apply if you're white ' #dc,1.0
1,funny how you never hear about white men raping women in black neighborhoods . i know 2 white women who ',1.0
1,obama declares war on white people seeking jobs or education  wants to increase anti-white racial quotas : #sotu,1.0
1,american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it,1.0
1,see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots a white woman and it's not allowed to be about islam,1.0
1,terrible tattoo . white trashy .,1.0
1,europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,1.0
1,horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,1.0
1,7 / white south africans are asking for our help . they're trying to get the word out about what is happening to the white community,0.0
1,form pagan clubs  can't deny clubs based on religion and nonwhites can't be european pagans .,0.0
1,jews destroy women : a response to women destroy nations | traditionalist youth network,1.0
1,she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .,0.0
1,what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !,1.0
1,i hope you all die in a fire that you inbred morons built,1.0
1,one race one nation and you wont have racial bias,0.0
1,he's bitter stalin eventually cracked down on the jews . too late for the white russians,1.0
1,what disgusting anti-white trash . #wakeup #whitepeople #wpww,1.0
1,trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,1.0
1,subscribe to america's national socialist publication : the white worker ! only $ 20 for one full year .,0.0
1,theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .,0.0
1,: italian authorities have blocked access to stormfront in italy and arrested patriots for posting on it ! read more : h ...,0.0
1,what about the white illegal immigrants ?,1.0
1," this is propaganda . you're  "" white "" "" . """,0.0
1,kill these people,1.0
1,#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .,1.0
1,the flag of the northwest american republic  the coming white homeland and ethnostate .,1.0
1,awesome ! the real men who fought for the white race ! real heroes !,0.0
1,84 % of all wanted criminals in copenhagen are non-white | more : via #whitelivesmatter,1.0
1,no one ever said that africa doesn't have amazing wildlife or that people don't go on safari . zimbabwe is a failed state .,1.0
1,meanwhile there is a legimate case for invading and utterly wiping off the genetic map every non white on earth  but yeah russia,0.0
1,daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .,1.0
1,elder  how in world are all of these racist / liberal democrats & racist immigrants  w,1.0
1,it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .,1.0
1,: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot,1.0
1,you got that backwards . blacks took over thriving white cities and destroyed them . you are delusional and racist .,1.0
1,planned parenthood started to kill black babies . racist and murder . d,1.0
1,i'm glad your white bubble makes you happy . live in it all you want . your loss .,0.0
1,switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via,1.0
1,nordic is only aryan types ; white and black is none of our business ; only aryans are invited,1.0
1,feminist only go after white males.they are not intelligent enough to comprehend black vio,1.0
1,racist old white guys are the only thing standing between you and extinction . #learntoloveus,1.0
1,inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,1.0
1,: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot,1.0
1," latest track   "" ethnostate 2088 "" "" """,0.0
1,here's a fact  if america was 100 % white it would be vibrant  prosperous &,0.0
1,bbc fires award-winning white male comedian for being white and male,0.0
1,#religiousfreedom = scared white people,1.0
1,hunter  this has nothing to do with cucking . this is about saving the white race . repea,0.0
1,what anti-white leftists think about #brexit,0.0
1,newly established white student unions see an upsurge in support as more white students find a legitimate voice to express their frustration,0.0
1,will incessantly talk about evil white people and / or have no problem focusing on the race of non-whites in a positive way .,0.0
1,1.7 million muslim / arab citizens in israel.jordan law : no jew may be citizen or own landso who's racist ?,0.0
1,war on the whites might be real  but ie isn't pro white . true white are heathen  not christ cucks .,1.0
1," has to say  "" proud jew "" "" because she can't pass as white . """,1.0
1,tactical triggering : white genocide  jewmerica  and trumps retweet via,1.0
1,what white americans have to look forward to from #catholics & #jews :,0.0
1,. : ' sentencing reform ' bill rewrite will release illegal alien drug traffickers via,0.0
1,i cannot believe your hating on white power,1.0
1,savage british man eaters ! blaming adolf hitler ! !,1.0
1,white guilt is a helluva drug,1.0
1,: southern nationalism has a better chance in dixie  than wn / ns does in yankeedom or pacifica .,0.0
1,google is censoring us  9/11 anniversary coming up  gonna be a #muslimbrotherhood #circlejerk,1.0
1,time will prove who r allies . national socialist party has much bigger canvass spreading far & wide .,0.0
1,by that logic the united states police should go kill all the white heroi,1.0
1,you suck stupid white bread,1.0
1,think for yourself for a change . i bet you think blm and antifa are peaceful .,1.0
1,very true  the only choice is too kill them before they kill you .,1.0
1,the truth is that blacks are a criminal plague from detroit to atlanta to chicago to london to toronto,1.0
1,we must secure the existence of our people and a future for white children !,1.0
1,what's happening in south africa is awful and not one news station covers it,0.0
1,yes kill all christians,1.0
1,pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,1.0
1,via : uk : muslim abducts  rapes woman : you white women are good at it #tcot,1.0
1,because upholding laws and deporting illegal aliens is white supremacy . bwaaaaahahahahahahaha ! ! thank you !,1.0
1,but wait  i thought non-white people were not welcome because they are genetic,1.0
1,: david duke : the racial murder and rape of white women in america,1.0
1,the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .,1.0
1,people will rise up and take the country back  when they wake up  and they will wake up very soon .,0.0
1,white lives matter = pure hate ! diversity is a code word for #whitegenocide .,1.0
1,: survey finds 70 percent support for deporting illegal immigrants #afire #tcot #teaparty ...,0.0
1,enforcement of borders is ' racist ' ? this is the most naive comment i've read in a while . are you racist if you lock the doors to your home ?,0.0
1,illegal is not a race . true . but they aren't pulling over cars looking for white law breakers .,0.0
1,they have no rights as illegals,1.0
1,we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor,1.0
1," msm running with it anyway  apparently it appeased the snowflakes . they shud be more concerned bout  "" spirit cooking "" "" than nazi's """,0.0
1,america in 2050 and beyond will look more like brazil ( due to 100 million black people ),0.0
1,you're white + want to protect & preserve your distinct race / ethnicity just like everyone else . that co,0.0
1,my traps help save the white race,1.0
1,get this guy in & fighting with us on #projectsiege to take back our campuses from cultural marxism,0.0
1,another cucked country  suppression of the white man will create havoc in the long run .,1.0
1,and thereby aided and abetted in the multiple rapes of thousands of british girls  yes  that media .,1.0
1,the federalist : please stop glorifying manufacturing jobs via #globalization #freetrade #cuckservative,0.0
1,jews who are pro-western don't join those organizations . they join organizations like because they see themselves as white .,1.0
1,: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .,1.0
1,didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized,1.0
1," you are part of the conspiracy  ( ( ( lenin ) ) ) . while you advocate your anti-white  "" equality "" ""  your jewish state of israel remains a jewish state . why is that """,1.0
1,no moe white america . no more plantation . deal with it . accept it .,1.0
1," as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """,1.0
1,how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking cuz they're killing themselves .,1.0
1," soros the great racist promoting & funding racial hatred in the name of  "" anti - racism "" "" . """,1.0
1,it means white demons .,1.0
1,rather than trying to build our own institutions within the confines of the existing power structure  there should be a movement that seeks to extricate whites from conventional society altogether - like the hippies wanted . why isn't anyone talking about this ? #whitegenocide,1.0
1,bruh  ima make racist claims and support seclusion with my obtuse nationalism . let's talk about how disenfranchised we are,1.0
1,white colonization is the only colonization that ever helped another race,0.0
1,muslims hate jews . 18c has nothing to do with islamic jew hatred .,1.0
1,the muslim was racist .,1.0
1,the global white awakening via,1.0
1,maybe because all these black people would rob and shoot the first white person they see come in there ?,1.0
1,it's white ppl committing the crimes,1.0
1,her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,1.0
1,go forth and make white children .,1.0
1,the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite target is potus trump . i stand by our president and against these far left racist hateful demon losers . hey come at me !,1.0
1,hi robert  could you explain why obama is threatened and mocked by isis  even though he seems to be ' one of them ' ?,0.0
1,the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,1.0
1,what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism,1.0
1,russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .,0.0
1,white identity will not be ( ( ( deconstructed ) ) ),0.0
1,y vote they all screw us white folks anyway ...,1.0
1,"  "" alleged white genocide "" "" """,1.0
1,that's why racial segregation is necessary,1.0
1,if you have sufficient information on their family heritage  one could make predictions about individuals  since all traits are heritable .,0.0
1,previous article hid his black race - but i knew it was a black male killing a young white woman,0.0
1,white massive revolution !,0.0
1,paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,1.0
1,however  apparently you can't even show me where the quran prohibits violence . and u say islam is peaceful ?,0.0
1,"  "" : i killed them because they were white "" "" ; """,1.0
1,: #arizona politician proposes a special holiday for white people #altoarizona #immigration,0.0
1,you don't live here . stay put in atlanta with the rest of the freakshow gathered there,1.0
1,i don't trust the census . it's a well known fact all of the middle easterners check the white box . america was destined to be what it is,1.0
1,nation of islam attendees . racist black police shooters in #dallas attended mosque,1.0
1,they hate us because the quran tells them specifically to hate us . to pretend they dont  but to hate us in their hearts . dont be an idiot,1.0
1," rt . :  "" voters on obamas #immigration plans : drop dead "" "" #noamnesty """,1.0
1,atheist  marxist  communist  are child molester sodomites . that is the fuhrer adolf hitler victimized,1.0
1,germany : never before seen ritual immigrant violence #swrm via,0.0
1,hud tearing down the projects and sending ghetto dwellers into suburbs with housing vouchers . see memphis and atlanta,0.0
1,israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via,1.0
1,the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .,1.0
1,the liberal zionist crisis - - white nationalists are villains  but settlers are ' complex ',0.0
1,& both intelligent black patriots . dems new chains they want to put on minorities go by the names blm & antifa .,0.0
1,she didnt ... feel a sense of self-worth . she didn't deserve to die for that  but she fits the white anti-white profile .,0.0
1,creativity is the only hope for white people . - white people are the best -,1.0
1,dear white women : they hate & resent you no matter what so marry a white guy & have beautiful white children,1.0
1,i can't believe muslims believe in abortion .,1.0
1,: black activists call for lynching and hanging of white people and cops,1.0
1,hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism,1.0
1,"  "" : kkk alive and well white brother hood unite ku klux klan "" "" good job crackers """,1.0
1,no more einstein's . he was a jew anyway,1.0
1,video proof that everyone feels safe in majority white crowds . meanwhile white londoners can't even walk their own streets . #duckfiversity,0.0
1,: is burning whites the new knock out game for blacks ?,1.0
1,but that wouldn't enable them to destroy white neighbourhoods .,0.0
1,h calls anyone who wants 2 b safe a racist . she is a hater of america  her polices will not keep us safe,1.0
1,#italy jihadi talked about fastening his belt to reach heaven #islam #islamophobia #tcot,0.0
1,and there was an underlying white identity resurgence to trump's campaign . it's why the jews freaked so much .,0.0
1,yea their minds have been polluted by the jew media,1.0
1,via : clash of civilizations : iranian in canada attacks wifes boss for saying hello #tcot,0.0
1,funny how tolerating black crime is key to keep black politicians in power ; safe streets would bring whites back  and they'd want good govt .,0.0
1,you know god hates white people right ?,1.0
1,the % in those tables is % of crime  not % of racial demographic . the jew is a non-factor re : violent crime ... financial crimes however ...,0.0
1," identity europa unfurls their banner emblazoned with  "" you will not replace us . "" "" #redicelive """,0.0
1,! ! ! rt and the color of facist fiction is white,1.0
1,stop all muslim immigration now !,1.0
1,anyone who continues this narrative against milo after that press conference is pretty clearly doing so out of opportunism  not principle .,0.0
1,america needs a national front that will be of use to white americans .,0.0
1," rt  "" holocaust "" "" scam rolls on  jews told to apply for more cash : in essence this gets to the bottom of the contriv ... """,1.0
1,rn the average white person is taught we were always the oppressor.we have a right to learn about the extraordinary achievements of our race,0.0
1,all white trash  plain and simple ! don't like it here ? then move somewhere else  you're,1.0
1,. . i hear you guys had a #safespace for gay white male atheist feminists #altright,1.0
1,#charlottesville #unitetheright & starter pack,0.0
1,i can't stand these people saying white lives matter is racist but black lives matter isn't . even worse the white ppl with blm,1.0
1,splc uses itunes to help gather donations to finish destroying the white race via,1.0
1,what's shocking is 34 % didn't think america settled by white euros . let's see : 12.3 % black pop +12.5 % brown pop + misc minorities + white cucks =,1.0
1,no ! kill your friends who support islam,1.0
1,they really need to watch out for antifa . antifa may have hidden weapons under clothing as,1.0
1,zuckerberg's dream : the anti-white racist social network | more : via,0.0
1,the realist report : don advo the war on white people via,1.0
1,what's your favorite vintage of cuck tears ?,0.0
1,do these people know it's not a communist government that is perpetuating white genocide,0.0
1,i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?,0.0
1,as in you are leaving ? you're too white looking to be native . bye ugly and your fatty ! #smallhands,1.0
1,yep . the white mormon tabernacle choir is a hate group according to the white-hating jewish splc ...,
1,the jews again . jew hate is prevalent in muslim communities .,1.0
1,white genocide is the program .,1.0
1,i'm concerned about white cops being targeted by racist black thugs not with what color annie is or if a black man can play james bond !,0.0
1," rt : in america any group of organized whites is going to be called  "" nazis "" "" regardless of their optics . """,0.0
1,nothing odd about it . we are all europeans who live in america  and our ancestors created this nation ; an extension of europe .,0.0
1,makes me think of the ccr song ; bad moon rising . americans are being poorly lead ! wake up white america !,0.0
1,so jew hating muslim of them  those sneaky jews all 15 milliin vs 1.5 billion of muslimsmuslims always blame the jews .,1.0
1," actually  the  "" base "" "" in the south has been given proof "" "" mainstream conservatives "" "" are a bunch of weak  cucked faggots """,1.0
1,jews are doing to whites what they did to palestinians . palestinian genocide  then white genocide .,1.0
1," rt #demdebate summed up for you :  "" we hate white people and can't wait until usa is majority non-white  "" "" say all the white candidates on stage . """,1.0
1,. exterminatory jew hatred  it's in the quran,1.0
1,diversity is about chasing down white people .,0.0
1,: addendum : western politicians damage also europe christianity by ' pandering ' to islam . actually they dama,0.0
1,black people only seem to thrive in white countries . how strange .,0.0
1,how deep is the poz ? #withjewswelose,1.0
1,if anything is a black racist-guess its okay to keep denegrating your own race by using the sacred n word . hes a cautionary tale .,0.0
1,cuckservatives : ted cruz celebrates martin luther kingday,0.0
1,the last bastion of the white race : 90 % of young finnish people oppose more non-white immigration via,1.0
1,so a cop from a sanctuary city what they think . want a rapist to get away because the raped is afraid of being deported ?,1.0
1,saturday night live celebrates the end of the white race | daily stormer,1.0
1,kill the illegals,1.0
1,being pro-white is to be pro-american . if you don ; t like white america  you can leave !,1.0
1,ethnic norwegians disappearing as non-white colonization intensifies | read more : via,0.0
1,those are so not the white tears anyone asked for .,0.0
1," of course #trump is not  "" your guy "" "" . only fools could imagine a * white friendly * candidate emerging from jew cesspit  nycity """,1.0
1,anti-white jew comedian louis ck jokes about child molestation on saturday night live #withjewswelose,1.0
1,because they're anti-white . they have hatred for our whiteness . because they see a rise in white identity and whites shedding their guilt .,1.0
1,them white folks must be racist  cause dem po blks could not be at fault . so misunderstood,1.0
1,xenophobia is not immoral . it's used an an insult and a way to try to shame people about their natural patterns of thought .,0.0
1,so  you're a black maga bro who is less concerned w / actual white supremac,1.0
1,does your pedantry argue that negroes are more or less intelligent ?,1.0
1,yes we don't to be invaded my wife is white blonde and 2 mexican girl are trying to get her fired by saying she called them racist to hr,1.0
1,: jw is a truth organization not a hate orginzation . islam is all about hate . #ar,0.0
1,at long last ! finally  we can start openly talking about the lying  subversive  scheming jews destroying america ! #maga,1.0
1,the white genocide continues : white race now a minority in three more uk towns and cities via #14w,1.0
1," brilliant comments sandra !  "" : black on white murders grow more sadistic in sa ( video ) via "" "" """,0.0
1,national syndicalism is not white nationalism  but keep race baiting .,0.0
1,every time i see these people all i think of are th white version of black isrealites .,1.0
1,jewish supremacists demand more cash for racist ' israel ' . : well  this is not exactly related to our topic here ...,0.0
1,detroit : the death of white civilisation via #race #demographics #nationalism #ethnicity #europe,1.0
1,send them all home give us our jobs back,0.0
1,its not about appealing to conservatives its about appealing to whites . we don't need to put stumbling blocks in their way .,0.0
1," proliferating anti-white agenda  "" """,1.0
1,nobody will take white identity seriously if you yell muh jew for every issue . we need to talk about how great our culture is .,0.0
1,white men aren't in charge of black people killing each other !,0.0
1,race relations in us is managed by a thin veneer of civility and doesn't take much to expose truth . blacks hate your white guts,1.0
1,the adl and the splc are both hate groups . they hate white european people .,1.0
1,snacks for thought : why don't middle class black people vacation in trailer parks ?,0.0
1,10 % of norwegian women have been raped by muslim invaders  half before they were 18 | more :,1.0
1,retweeted national socialist ( ): #germany could bypass sweden as the muslim rape ...,0.0
1,triumph of the will gives me goosebumps . i must be a national socialist .,0.0
1,the problem in the inner cities is not white silence but black violence . take responsibility for your actions and stop the race baiting now !,1.0
1,the black football player that punched a white girl in the face  gets to stay at school and continue playing . white privilege ?,1.0
1,i can appreciate that . i'm against non white immigration because far too many hate whites .,1.0
1,white people hating immigration  that's a real shocker,1.0
1,jews take great offense to being called white .,0.0
1,you don't have to hate them . jews aren't white . hitler  for all his mistakes  would have been b,1.0
1,you neanderthals can't even agree on nationalism or white supremacy lol,1.0
1,yeah faggots,1.0
1,you should see sm . towns in arkansas ; majority were white 70 %  blacks 25 %  other 5 % . now . white 45 %  black 20 % & mexican ( maj . illegals ) 35 % !,1.0
1,but somehow this is not racist  hate speech ? meanwhile trudeau moves to criminalize islamophobia .. in canada ! #muslimmole,1.0
1,after micah x .  it needs to go back up permanently . why was it taken down to appease these people ?,0.0
1,we just had to bring these black trash racists into america.the whites that were lazy & thought that wa,1.0
1,tell senator mcconnell to grow a pair and stop hunting down those less fortunate and less white than himself and his racist bosses .,1.0
1,photographer ? she looks like antifa to me looking for trouble . also  you need a dictionary to distinguish between a beating and a punch ?,0.0
1,jewess comedian joan rivers says barack obama is gay and michelle obama a tranny | more :,1.0
1,beware of muslim conclave in delhi . they are going to prepare for jihad pl . arrest these jehad plotting agents,1.0
1,ethnic norwegians disappearing as non-white colonization intensifies #swrm #white via,0.0
1,the peaceful muslim religion . when they say peaceful they mean rest in peace . look at this typical mu,1.0
1,uk universities to ban feminists and conservatives to avoid offending muslims,1.0
1,white people don't belong in civil,1.0
1,i am not a white supremacist . i am a race realist . no race is superior  we are different . blacks are physically superior  asians mentally .,1.0
1,yeah i knew a muslim once  he was peaceful ... so ... that proves islam means peace . #tcot,0.0
1,nsa leaker : being white is terrorism via,1.0
1,muslims attack - a common theme around the world ! !,0.0
1,a white supremacist is just a white person resisting the attempt to make him second class citizen in his country .,0.0
1,saving the white race - is it time yet ? - renegade tribune,0.0
1,the capitalist and islamic fanatic are true devil they should thrashed by massive nationalist fist,1.0
1,this country needs more white immigrants .,0.0
1,"  "" the ( ( ( left ) ) ) wants you to know that trump is the last stand of white america . "" "" via """,0.0
1,the white house is currently a sanctuary for a moron .,1.0
1,> gaytriot front > white nationalist,1.0
1,every time a jew shoots a palestinian  white zionism gets a little stronger .,1.0
1,: 84 % of all wanted criminals in copenhagen are non-white,1.0
1,long term  you in for secession or white deep state leading to ethnostate ?,0.0
1,you're a bit more mellow than i am this morning  tommy . all muslims must be considered potential terrorists,1.0
1,jew run facebook takes down uc berkeley white student union,0.0
1,if a non-white wants a white person to be fired or exiled etc.all they need to do is claim the white p,1.0
1,are you talking about the same white supremacists who saved your people from genicide ?,1.0
1,germany : non-white in one generation via #whitegenocide isn't real & just about race mixing ...,0.0
1,white genocide accelerates : university removes portaits of white male professors | more :,1.0
1," a racist org like is breath of fresh air . in a time when most are afraid to use the word  "" racist "" ""  she did . """,1.0
1,... my updated feeling is sadness . how have we failed our european sisters . this culture is so toxic th,0.0
1," rt  "" : : non-white hate crime mob violence comes to finland ( video ) "" "" ; cultural enrichment ? """,1.0
1,germany : non-white in one generation #swrm #germany #nonwhite #stopimmigration #merkelstanddown via,1.0
1,white resistance increases as minority status looms via tide comes in the tide goes out .,0.0
1,a bunch of faggots laughing at us & spending money wildly while talking about fiscal conservatism & values,1.0
1,white man's downfall continues : white race now minority in london via,0.0
1,it's funny how jews are white except when a chance to exploit muh 6 gorillion arises and then they become a separate group .,1.0
1,unlike the yankees who hate the russian people collectively  we have no hate for anyone in amerika  jus,0.0
1,cuckservatives like conor friedersdorf  jonah goldberg  and kevin williamson hate the donald,1.0
1,obama's fault charge him with accessory 2 all crimes committed by illegal aliens & any by refugees his fault 4 real,1.0
1,btw most that go as jews nowaday are azerbeidjani ( kazar ) .. white looking but black hair .. ie the many killercops,1.0
1,"  "" white nationalism isn't the way to go  "" "" said the zionist . """,0.0
1,ppl just don't listen & hate pres trying to clean up evil politicians . obama started race wars again by denouncing his white half . he is b / w,1.0
1,new york : sicilian terrorist / governor andrew cuomo prepares to purge nyc of all confederate tributes via,1.0
1," lol 6 straight decades of  "" white ppl are the enemy & need to die "" "" articles = "" "" americans "" "" """,1.0
1,so ur not a self hating white  just another white hating irreligious jew .,1.0
1," rt #blacklivesmatter :  "" i hope they kill all the white babies  kill all your grandkids "" "" why hasn't any 1 disavowed ? """,1.0
1,had delhi not voted for & his party by now he would hv been in jail on charges of getting foreign funds from isi for anarchy,0.0
1,#wakeup they are going to blame you  white people  every time,1.0
1,: four adopted children  not a single one white . what kind of self-loathing and / or white savior complex caus,1.0
1,obama never disavowed his racist ex pastor jeremiah wright and gave the eulogy for career klansman robert white sheets byrd .,0.0
1,bruh go eat your leaves & unseasoned chicken . smh you really tryna come for us . foh #kkk,1.0
1,you believe nelson mandela was a freedom fighter #cuckservative,1.0
1,jews and nonwhites are openly showing us their hatred right now . when will you get it  white people ?,1.0
1,war afoot now : rampantblack terrorism targeting whites >,1.0
1," isn't that funny ... u will believe he's guilty & if he's not it had 2b bcuz of  "" white privilege "" "" .. so he's guilty 2u no matter how it turns out . ur neither tolerant nor excepting . u r the very epitome of racist ! i'll tell u what  let me know where the white privilege line is  i need it ! """,1.0
1,the #gaylobby needs the opioid crisis in order to fulfill #gaymarriage adoptions.the donald is a businessman . sure,0.0
