text,label
burning down your own city and stealing from your community is not justice it's illegal looting !,0
" rt people will object  "" but the famous  large kill count  intricate ones are white ! "" "" - well yes  anything advanced / intricate / noteworthy is . """,0
cops kill more whites than blacks .,1
why are you evil people on twitter . you have . stay there . it's the racist ghetto ( get it ? ) .,0
because it offends leftist shitlib sensibilities  white people,1
repeal all gun and drug laws . problem mainly solved . most black people  unfortunately  support the wars on both,1
three cheers for for daring to stand up for a people who are targeted for the ash heap of history . #globalwaronwhites,1
" jewish activist on tv show says   "" low white birth rate a good thing "" "" | read more : via """,1
tickling the surface of those out to kill us all #rt #stopislam #makedclisten #bansharia,1
come join the wkk white killer klan,1
milo literally said he lost his virginity when he was 15 in a 5some.poz af .,1
#altright press conference live now,0
we are an existential threat ... to the media and to the profits of the big corporations for whom the med,0
" rt :  "" tribute to rudolf hess "" "" t-shirt from the white resister """,1
: . poll flawed - didn't offer option of enforcement - not just amnesty or deportation #iowadebate,0
without white people to support blacks  blacks would go extinct in 6 months . they are too d,1
global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change,1
another white male kills in historic numbers .,1
can somebody in the alt-right make a good picture collection of fashy hair cuts with good angles . gotta go get it pretty soon .,0
i see white children living happily in white countries . white countries must return to being white .,1
via mali : islamic jihadists shell troop-heavy area around gao airport #tcot,0
" - seems lgbt activists only want a  "" queer-ocracy ; a totalitarian state where all submit to them or be punished . sad ! """,1
the connections run through nait and involve saudi funding . and as wd muhammad said  with saudi money comes saudi perspective,0
is it denial or acceptance > a likeness btw obama & hollande ... fix immigration stop radical islam control in us,1
call them what they are - they are anti-white they want to turn every european / white country non-white  that's where all their policies lead to - they need to be on the defense for pushing genocide  you should be on offense,1
"  "" i call on pres . obama & his party to withdraw their opposition to the pain capable unborn child protection act . "" "" - #theyfeelpain """,0
the libertarian legend,0
dramatic rise of white flight in britain : masses of white families escape from multiracial areas | via,0
the white house is now a sanctuary city by this definition,0
aids skrillex & carl the cuck : you're a white male,1
this is stupid . ignorant white trash want the wall .,1
ramadan begins in afghanistan : muslim murder 18 with jihad suicide car bomb,1
80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,1
must must must read . mt you're allowed to speak about jihad violence in uk  as long as you're for it .,1
in wenen gesproken over religious persecution : europes role in highlighting & preventing martyrdom,0
is at the cutting edge of white advocacy .,0
poland uncovers thousands more staff at auschwitz death camp : more members ! more possibility of trials ! poland u ...,0
via : ghana : muslim leader says boko haram is not an islamic group #tcot,0
we aren't white supremacists . we're white nationalists . we just think that white,0
when a british prime minister praised adolf hitler as greatest living german #swrm via,1
" some #liberal extremists actually believe a thing called  "" white privilege "" "" exists in america  when in #fact the opposite is true . #tlot """,1
when you've got 60k people marching  you can have a couple of fit guys with decent fashio,0
mt . any religion is better than islam . #tcot #bansharia #banislam,1
media never let a good disast,0
! you've seen my top 5 villains of the bible . here are my top five heroes . # 1 ? satan of course . who's yours ?,0
pl write a cheque,0
" would he do this to a non white family ? white people are thought of as  "" easy targets  "" "" because many are """,1
puma - brad is a white supremacist who is going to join the pro-cop bs and wave his white power flag in #ferguson,0
advanced but still subject to human nature . theres always people who are going to be dis,0
it's about internationalism ( communism / socialism ) vs . nationalism ( zionism / nationalism ),0
#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,1
california is an anti-white state . theblaze,1
you kill or beat gay people in israel or the western hemisphere your going to jail .,0
the wall is racist and xenophobic and by extension youre racist and xenophobic . delete your account  and disband your organization .,0
" neocons want  "" white trash "" "" to fight russia """,1
: exactly . the more these people kvetch the more excited i get for #unitetheright .,1
of course white people have the right to exist  because modern civilization makes us white,1
" rt : .  "" kill any jew who falls into your power "" "" - muhammad in """,1
it was just him surrounded by cucks and bannon  flynn and sessions . flynn is gone . sessions is now the target,1
lol  false causation . he was mentally ill . he didn't need facts to go kill people  just evil .,0
it is time for churches to bear the entire cost of evangelizing #faith to troops . abolish #military chaplain positions .,0
"  "" white males "" "" """,0
2 / besides benching more often and with higher 1rm percentages  make sure you aren't neglecting low hanging fruit .,0
having it in ga  tn  or ky would make it regional  which isn't bad ( & personally more conven )  but woul,0
" rt the #kosher food #scam getting into prisons .  "" demands for kosher food hiking prison costs "" "" #judaism #greed """,1
we appreciate all retweets ! please continue to spread the truth and support #nationalsocialism ! #workingclass #norefugees #buildthewall,0
" rt  "" : what our race has lost : a look at the last of the aryans of asia | more : "" "" ; """,0
yes white people are native americans . indians are pre colombians . white people built america . don't like it ? get out .,1
a couple days from now you won't be able to find a single person who was ever in the #cruzcrew,0
video : black on white murders grow more sadistic in south africa via,0
the ongoing war against white people : european front,1
leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,1
: canada : jews most targeted for hate crimes  hate crimes against muslims decrease |,0
shaun is black . why are you obsessed with his race ? you like white boys ? skinny lil white boys ?,1
in germany  if you notice that muslim invaders are raping your women  you're a racist and your fb post is deleted,1
obama was a racist . anyone who buddies up with is a racist in my book .,0
its not a plight . its just time for them to go home .,1
things begin to make sense once you accept the fact that we pundits are smarter and better than the vast majority of people in our culture .,0
africa is oppressed by systematic white supremacy just like the us . the syst,0
black and hispanic babies comprised 78 % of nyc abortions ( ) . naacp yawns  sues .,0
are you watching iron sky right now ? i just made this picture as well  see attached . #anp #nazi #kkk #synonym,0
top reasons to fear shariah in america . #rt #counterjihad #tcot #terrorism,0
problems at state dept .. ' muslims want to kill u but let's celebrate their cult .. and don't apply if you're white ' #dc,1
funny how you never hear about white men raping women in black neighborhoods . i know 2 white women who ',1
obama declares war on white people seeking jobs or education  wants to increase anti-white racial quotas : #sotu,1
american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it,1
see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots a white woman and it's not allowed to be about islam,1
terrible tattoo . white trashy .,1
europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,1
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,1
all the pundits laughed when trump entered the race and were certain he would flop in the south,0
7 / white south africans are asking for our help . they're trying to get the word out about what is happening to the white community,1
. is a hate group . #marchagainstsharia is a hate rally . full stop .,0
"  "" what nationalism in eastern europe can teach the west "" "" by john morgan rt : """,0
form pagan clubs  can't deny clubs based on religion and nonwhites can't be european pagans .,1
miller county  ga is 70 % white . so  virtually 100 % of white voters here must have voted for trump,0
jews destroy women : a response to women destroy nations | traditionalist youth network,1
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .,1
what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !,1
i hope you all die in a fire that you inbred morons built,1
one race one nation and you wont have racial bias,1
he's bitter stalin eventually cracked down on the jews . too late for the white russians,1
: boston is no victory for antifa . if it were in oxford  mississippi  or houston  tx  it really would be .,0
if only he had massive oil pipeline to hide said chemicals,0
what disgusting anti-white trash . #wakeup #whitepeople #wpww,1
trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,1
educate yourselves abt : melbourne islamic conference hides faces of female speakers via,0
subscribe to america's national socialist publication : the white worker ! only $ 20 for one full year .,1
theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .,1
: italian authorities have blocked access to stormfront in italy and arrested patriots for posting on it ! read more : h ...,1
#livestreaming 12pm est todaymena briefingexperts speak on #is & #gjm,0
what about the white illegal immigrants ?,1
israel is too white  it needs more diversity #openbordersforisrael,0
if antifa were the isis of america all you white supremacist wouldn't be here anymore . way more progressive people than white supremacist,0
" this is propaganda . you're  "" white "" "" . """,1
kill these people,1
#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .,1
get btfo . plus  how stupid do you have to be to not think feds are infiltrating pro-white groups ?,0
race realism stares people in the face . they refuse to acknowledge it .,0
the flag of the northwest american republic  the coming white homeland and ethnostate .,1
white family look so awesome,0
awesome ! the real men who fought for the white race ! real heroes !,1
nope  dont love it  racist .,0
" ' holocaust ' debate / comments / news  "" survivor "" "" witnessed british arrival at auschwitz + child rapist polans ... """,0
rudolf hess ' last words before final jugdment in colour ( video ) | more : via,0
84 % of all wanted criminals in copenhagen are non-white | more : via #whitelivesmatter,1
no one ever said that africa doesn't have amazing wildlife or that people don't go on safari . zimbabwe is a failed state .,1
meanwhile there is a legimate case for invading and utterly wiping off the genetic map every non white on earth  but yeah russia,1
daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .,1
elder  how in world are all of these racist / liberal democrats & racist immigrants  w,1
it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .,1
: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot,1
they even pick on the white power ranger ...,0
white separatist author weissberg on : : :,0
the racial order of prisons : via #prison,0
you got that backwards . blacks took over thriving white cities and destroyed them . you are delusional and racist .,1
white people in red states .,0
planned parenthood started to kill black babies . racist and murder . d,1
i'm glad your white bubble makes you happy . live in it all you want . your loss .,1
switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via,1
i wonder why racist folks don't like to be called racists ? #ferguson,0
post-fall of saigon ~ europe took less than a quarter million vietnamese refugees,0
15 year old white danish girl blinded by african muslims in racially motivated hate crime | more : via,0
no . americans first,0
nordic is only aryan types ; white and black is none of our business ; only aryans are invited,1
#hitchingpost still in search of a gay couple to attack their #religiousfreedom #pleasehelp #lgbt,0
feminist only go after white males.they are not intelligent enough to comprehend black vio,1
racist old white guys are the only thing standing between you and extinction . #learntoloveus,1
inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,1
get out of our america white supremacist corrupt gop paid lying shyster tinytrump shills !,0
" no . kkk is :  "" white anger fueled by insecurity / envy ; racist ... violent mob mentality ... lynchings ... participants not held accountable . "" "" """,0
: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot,1
black lives matter,0
" latest track   "" ethnostate 2088 "" "" """,1
if only white supremacists were like the hutterites ...,0
here's a fact  if america was 100 % white it would be vibrant  prosperous &,1
bbc fires award-winning white male comedian for being white and male,1
i don't think killing your own child would cause you to care about the future of someone else's child #altright,0
#religiousfreedom = scared white people,1
the #altright is a mask for racism and isolationism . #whitepropaganda,0
hunter  this has nothing to do with cucking . this is about saving the white race . repea,1
what anti-white leftists think about #brexit,1
white nationalist white supremacists . white nationalists just want america to remain a majority white country .,0
sad that white america's biggest moral stand is driving through chik-fil-a or canceling cable . #nflboycott,0
media matters is calling for a progressive ministry of truth to censor social media in order to control the narrative,0
newly established white student unions see an upsurge in support as more white students find a legitimate voice to express their frustration,1
will incessantly talk about evil white people and / or have no problem focusing on the race of non-whites in a positive way .,1
which should be disavowed - the alt-right or twinks for trump ? so far only the alt-right has been denounced,0
1.7 million muslim / arab citizens in israel.jordan law : no jew may be citizen or own landso who's racist ?,1
there's is and should be zero place in america for sicko's like you all ( kkk ) .,0
war on the whites might be real  but ie isn't pro white . true white are heathen  not christ cucks .,1
" rt ' django unchained ' producer on ' selma ' oscar snubs : did voters have  "" racial fatigue "" "" ? ( guest column ) via """,0
" has to say  "" proud jew "" "" because she can't pass as white . """,1
tactical triggering : white genocide  jewmerica  and trumps retweet via,1
how do you get rid of an ( ( ( enemy ) ) ) that now controls tax  intelligence  justice education  media and potus ?,0
soon  the would-be murderers of jews / christians no longer will have their greatest champion in our white house,0
what white americans have to look forward to from #catholics & #jews :,1
. : ' sentencing reform ' bill rewrite will release illegal alien drug traffickers via,1
president obama serves up hypocrisy as main course in his talk at prayer breakfast . #nbpicks,0
: they often try and identify nationalism with ' hate ' which is really a broad brush in generali call it a d,0
point is-they also  exclusively have dna markers of levant-all jews from there .,0
she is a vile woman . and the face of the democrat coastal party . such intolerance . 2b expected though .,0
must watch : holocaust mind control,0
real #unemployment at 15 % - this corrupt system has no desire to improve the lives of the #workingclass -,0
what is white supremacy ?,0
i love my white friends and white family . but because of this they consider me a racist . #wednesdaywisdom,0
" rt they've shifted from labeling everyone  "" white supremacists "" "" to "" "" white nationalists "" "" which is odd . """,0
" they're all  "" that better be a white man ! "" "" ... """,0
i cannot believe your hating on white power,1
savage british man eaters ! blaming adolf hitler ! !,1
white guilt is a helluva drug,1
: southern nationalism has a better chance in dixie  than wn / ns does in yankeedom or pacifica .,1
sure they have . crime statistics tell otherwise . but hey whitey is always to blame right ?,0
google is censoring us  9/11 anniversary coming up  gonna be a #muslimbrotherhood #circlejerk,1
time will prove who r allies . national socialist party has much bigger canvass spreading far & wide .,1
by that logic the united states police should go kill all the white heroi,1
respectfully i don't think ba ever argued for an ethno state  just white rights . he's a nice guy at the end of the day .,0
moly is a race realist sympathetic to white nationalism . not in same category as other two .,0
you suck stupid white bread,1
: yadav singh  amitabh n sedition case will finish mulayam sp n bsp . high time bjp acts . deal with trojans first,0
" email update published with o yuki conjugate  "" tropic "" "" lp and cd """,0
think for yourself for a change . i bet you think blm and antifa are peaceful .,1
very true  the only choice is too kill them before they kill you .,1
download free my new song titled w . k . t . g click here,0
in america ~ very few media personalities journalists columnists are of real ethnic-german heritage,0
the truth is that blacks are a criminal plague from detroit to atlanta to chicago to london to toronto,1
we must secure the existence of our people and a future for white children !,1
what's happening in south africa is awful and not one news station covers it,1
new cdc data shows that while all other demographic groups in america are living longer  white americans 45-55 are dying at alarming rate,0
plus they are racist too . always have been . always will be . here's 100 + facts proving dems are racist,0
their site is meant to scare people ... illegals murdering white citizens . nothing about radicalized white american men murdering people .,0
yes kill all christians,1
ocala mayor linked to the ! #sayfie,0
: mi : qur'an-burning pastor jones jailed ovr planned mosque protest : jailed 4 planning a protest ?,0
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,1
via : uk : muslim abducts  rapes woman : you white women are good at it #tcot,1
because upholding laws and deporting illegal aliens is white supremacy . bwaaaaahahahahahahaha ! ! thank you !,1
muslim man threatens to kill japanese airport customs officials & dares them to kill,0
brutal black-on-white abduction and murder of a little white girl in ms,0
but wait  i thought non-white people were not welcome because they are genetic,1
: a tribute to the white race . take a stand for your people  #wakeup ! #loveyourrace #aryan #arizona #blog,0
: david duke : the racial murder and rape of white women in america,1
when the says they're not racist ... what are you then ?,0
but he just posted about it and as a result at least a few thousand people saw it .,0
" jewish professor angers jews : found this and thought it could be useful . jewish professor angers jews .  "" ... m ... """,0
i agree  but what about white ppl  and i'm not being racist ! ! how do we support our . without being attacked as white supremacists ?,0
the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .,1
people will rise up and take the country back  when they wake up  and they will wake up very soon .,1
the white race isn't dead yet and neither is scotland or england .,0
more : the russian bombers will reportedly launch from the ' engels ' airbase and will be armed with cruise missiles .,0
white lives matter = pure hate ! diversity is a code word for #whitegenocide .,1
: survey finds 70 percent support for deporting illegal immigrants #afire #tcot #teaparty ...,1
i'm hispanic too . i can't wait to put christianity front and center again . europeans got too decadent for their own good . keep it simple .,0
35 women speak out on americas rapist : by hunter wallace here .,0
the twitter purge via hunter  you did it again . great essay dude ! you speak truth !,0
enforcement of borders is ' racist ' ? this is the most naive comment i've read in a while . are you racist if you lock the doors to your home ?,1
confederate memorials as instruments of racial terror = = = >,0
dropping out of college and joining you guys  where do i sign up ?,0
illegal is not a race . true . but they aren't pulling over cars looking for white law breakers .,1
they have no rights as illegals,1
we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor,1
ukip candidate suspended after saying south africa is being ethnically cleansed of europeans via,0
& even white folks dont want to live amongst other white folk ... its not a race / color thing .,0
starting to be slightly less of a beginner,0
" msm running with it anyway  apparently it appeased the snowflakes . they shud be more concerned bout  "" spirit cooking "" "" than nazi's """,1
america in 2050 and beyond will look more like brazil ( due to 100 million black people ),1
you're white + want to protect & preserve your distinct race / ethnicity just like everyone else . that co,1
it's amazing seeing how a peaceful rally for kaepernick receives more hate from white people than the white supremacy rally #kaepernickrally,0
i know plenty of whites who were ( and are ) passed over because of affirmative action .,0
my traps help save the white race,1
get this guy in & fighting with us on #projectsiege to take back our campuses from cultural marxism,1
how am i racist ? explain yourself . which race do i not like because i'm white and my kids are black and hispanic,0
just wondering  how are your organizations feelings towards white people who affiliate themselves with non-white non-sympathizers ?,0
another cucked country  suppression of the white man will create havoc in the long run .,1
and thereby aided and abetted in the multiple rapes of thousands of british girls  yes  that media .,1
is there a white chamber of congress ?,0
the federalist : please stop glorifying manufacturing jobs via #globalization #freetrade #cuckservative,1
jews who are pro-western don't join those organizations . they join organizations like because they see themselves as white .,1
: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .,1
didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized,1
cause there is a difference . im white  my kids are white . there isnt anything wrong wi,0
" you are part of the conspiracy  ( ( ( lenin ) ) ) . while you advocate your anti-white  "" equality "" ""  your jewish state of israel remains a jewish state . why is that """,1
: i understand your sentiment about obummer's trolling  ... bbbbuuuutttttt  sooner or latter trump will get feed u,0
no moe white america . no more plantation . deal with it . accept it .,1
stand with houston pastors check out this article from :,0
" as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """,1
how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking cuz they're killing themselves .,1
" soros the great racist promoting & funding racial hatred in the name of  "" anti - racism "" "" . """,1
: icymi : robert robb : obama to blame for administrative amnesty controversy #immigration #afire,0
barronelle stutzman heads to the washington supreme court via,0
#justiceforjack is justice for all in a society of free exchange of ideas  thoughts  & beliefs despite our differ,0
did you miss the socon review  curated by ? best round-up of news impacting the pro-family movement :,0
it means white demons .,1
video : white privilege : the new frontier of white guilt : rt :,0
is probably one of those people who thinks hitler was a good leader .,0
is your car white ?,0
censorship will just cause these platforms to collapse of their own and new media to take their place,0
rather than trying to build our own institutions within the confines of the existing power structure  there should be a movement that seeks to extricate whites from conventional society altogether - like the hippies wanted . why isn't anyone talking about this ? #whitegenocide,1
bruh  ima make racist claims and support seclusion with my obtuse nationalism . let's talk about how disenfranchised we are,1
white pride activists place giant sign over oregon highway overpass via,0
not sure your point . changes nothing . your views define you .,0
thank you president trump .,0
freedom of speech in academia & corporate america is now threatened because go,0
well then  all of those people waving sickle and hammer flags must be at least equally threatening .,0
antifa weren't attacking cars in,0
white colonization is the only colonization that ever helped another race,1
muslims hate jews . 18c has nothing to do with islamic jew hatred .,1
the muslim was racist .,1
white lives matter rally in buffalo mobbed by antifa via,0
the global white awakening via,1
maybe because all these black people would rob and shoot the first white person they see come in there ?,1
that last rt was for humour value only  in case of doubt . i stress that i do not support socialism  national or international flavour,0
it's white ppl committing the crimes,1
the raw math of white vs . non-white abortions is the less convincing argument for abortion,0
: russia don't want war  but desire develope links with american people . but no more confidence on obama a,0
her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,1
go forth and make white children .,1
the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite target is potus trump . i stand by our president and against these far left racist hateful demon losers . hey come at me !,1
hi robert  could you explain why obama is threatened and mocked by isis  even though he seems to be ' one of them ' ?,1
by true conservative  they mean open borders  free trade  deregulation  and endless wars . no one is pining for ww3 with russia,0
snuffing out south african identity just getting around to reading this .,0
oh yes it did . plus the left's overreach after the event caused them to look foolish during barcelona and berkeley .,0
the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,1
what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism,1
russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .,1
in stead of adjourning parliament 5 times a day  pl . adjourn it sine-die without wasting any further time and people's money,0
white identity will not be ( ( ( deconstructed ) ) ),1
someone else so elite that doesnt associate with blue collar workers or relate to middle class .,0
y vote they all screw us white folks anyway ...,1
"  "" alleged white genocide "" "" """,1
in #1965 we attacked india and latet we defended pakistan . this proves that offense is the best defense . #defenceday,0
president trump cuts 90 % of taxpayer-funded advertising for #obamacare . #aca,0
that's why racial segregation is necessary,1
if you have sufficient information on their family heritage  one could make predictions about individuals  since all traits are heritable .,1
previous article hid his black race - but i knew it was a black male killing a young white woman,1
white massive revolution !,1
turkish state racism denies kurdish historical sites  burries underwater,0
you have nothing meaningful to say and are left supporting your non-arguments with speculation about someone's ethnic heritage . sad !,0
how exactly am i  an american not from the south  helping drag down the south ? seems like you're picking the wrong fight to me .,0
paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,1
that is what bo wants - racial division .,0
is there a difference between #nascar and the ? #gop,0
different ethnitices that live in america would not be obsessed w / & defined by identity politics if white people never claimed superiority .,0
however  apparently you can't even show me where the quran prohibits violence . and u say islam is peaceful ?,1
"  "" : i killed them because they were white "" "" ; """,1
now show the whole clip where she was about to start throwing punches on people in that pile . she was there to do battle  she got it .,0
: #arizona politician proposes a special holiday for white people #altoarizona #immigration,1
it was white europeans that birthed america  why hand it over to cult,0
you don't live here . stay put in atlanta with the rest of the freakshow gathered there,1
i don't trust the census . it's a well known fact all of the middle easterners check the white box . america was destined to be what it is,1
via : south africa : muslim twins arrested for isis plot to bomb us embassy and jewish sites #tcot,0
nation of islam attendees . racist black police shooters in #dallas attended mosque,1
i agree : zafar's writings are dishonest & worthless  but his lies arent racist - jihad is not a race,0
the political right in the us is wide . theres a big difference between conservatism and identity politics for white boys  white nationalsm,0
they hate us because the quran tells them specifically to hate us . to pretend they dont  but to hate us in their hearts . dont be an idiot,1
" rt . :  "" voters on obamas #immigration plans : drop dead "" "" #noamnesty """,1
atheist  marxist  communist  are child molester sodomites . that is the fuhrer adolf hitler victimized,1
germany : never before seen ritual immigrant violence #swrm via,1
splc lists fair as a hate group . dont tolerate intolerance ! fair is a white supremacist organization .,0
" by  "" so few owned land  "" "" you meant to say more americans owned more land than any other european population in the world """,0
" rt . praises #hobbylobby decision that  "" family business owners are free to live out their religious beliefs "" "" """,0
there were two classes : white and bl,0
