text,attack-before-label,text-insert,attack-after-label
global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change,1,glo😇bal warming and ot😂😄😹her nat😹ural phenomenon are beyond control of jew😻😸ish me😄😆dia st😃🤣op the fraud of climate change,0.0
i see white children living happily in white countries . white countries must return to being white .,1,i s😺😸ee wh😄😸ite chil😊😄dren living hap😺pily in wh😂😂ite countries . white countries must return to being white .,1.0
" - seems lgbt activists only want a  "" queer-ocracy ; a totalitarian state where all submit to them or be punished . sad ! """,1,"- seems lgbt activists on😇😊ly wa😊😸nt a "" queer-ocracy ; a totalitarian st😻😊ate where all submit to them or be punished . sad ! """,1.0
call them what they are - they are anti-white they want to turn every european / white country non-white  that's where all their policies lead to - they need to be on the defense for pushing genocide  you should be on offense,1,call them what they are - they are anti-🤣white they wa😻😂nt to turn ev😁😊ery euro🤣😇pean / wh😂😄ite cou😄😄ntry non-😁white that's where all their policies lead to - they ne😹😸ed to be on the defense for pushing geno😻😻cide you should be on offense,1.0
this is stupid . ignorant white trash want the wall .,1,this is stupid . ignorant wh😃😊ite tr😃😆ash wa😸😄nt the wall .,1.0
ramadan begins in afghanistan : muslim murder 18 with jihad suicide car bomb,1,ramadan begins in afghanistan : mus😂😁lim mur😻😹😂der 18 with ji😸😹had suicide car bomb,1.0
80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,1,80 % of amer😂😄icans face near - #poverty . do you wa😃😊nt a bet😸😸😁ter ame😄😊rica ? jo😁😃in the american #nazi party today,1.0
must must must read . mt you're allowed to speak about jihad violence in uk  as long as you're for it .,1,mu😊😁st mu😊😆st mu😸😆st re😊🤣ad . mt you're allowed to speak about ji🤣😹had violence in uk as long as you're for it .,0.0
when a british prime minister praised adolf hitler as greatest living german #swrm via,1,when a british prime mini😻ster praised adolf hit😄😁🤣ler as greatest living german #s😸😃wrm v😄😆ia,0.0
mt . any religion is better than islam . #tcot #bansharia #banislam,1,mt . any religion is bet🤣😹😺ter than is😁🤣lam . #tcot #bansharia #banislam,1.0
" would he do this to a non white family ? white people are thought of as  "" easy targets  "" "" because many are """,1,"would he do this to a n😁😁on wh😺😸ite fam😇ily ? wh😹😹ite peo😃😁ple are tho😹😂ught of as "" easy targets "" "" because many are """,1.0
#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,1,#is😂😺rael # : isr😂😻ael : mus😄😊lim fakes ha😂😺te attack by extr😃emist je😄😺ws what about the real ones who kill babies ?,0.0
california is an anti-white state . theblaze,1,california is an anti-😺white st😁😺ate . theblaze,0.0
" neocons want  "" white trash "" "" to fight russia """,1,"neocons wa😂😊nt "" wh😻😺ite tr😺😹ash "" "" to fight russia """,0.0
" rt : .  "" kill any jew who falls into your power "" "" - muhammad in """,1,"rt : . "" ki😇😄ll any j😆😊ew who falls in😆😄to your po😇😻🤣wer "" "" - muhammad in """,1.0
" rt the #kosher food #scam getting into prisons .  "" demands for kosher food hiking prison costs "" "" #judaism #greed """,1,"rt the #ko😃sher food #scam get😆😸ting in😇😂to prisons . "" demands for kos😻her food hiking prison costs "" "" #jud😻aism #greed """,0.0
yes white people are native americans . indians are pre colombians . white people built america . don't like it ? get out .,1,yes wh😺😺ite peo😂😂ple are nat😁ive amer😹😄icans . ind😸ians are pre colombians . wh😹😆ite peo😃😇ple built america . don't like it ? get out .,1.0
the ongoing war against white people : european front,1,the ongoing w😂😄ar aga😇😆inst white people : european front,0.0
leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,1,lef😃tist view is wh😺😻ite = rac😻😹😸ist . it co🤣😆mes from jud😹aism and hat😹😁red of anything roman . check this from 25:00+,0.0
in germany  if you notice that muslim invaders are raping your women  you're a racist and your fb post is deleted,1,in ger😂😃many if you notice that mus😂🤣lim inva😆ders are raping your wo😆😂men you're a rac😹😃😻ist and your fb post is deleted,1.0
problems at state dept .. ' muslims want to kill u but let's celebrate their cult .. and don't apply if you're white ' #dc,1,problems at st😆😺ate dept .. ' mus😄🤣lims wa😇😄nt to ki😻😻ll u but let's celebrate their cult .. and don't ap😆ply if you're wh😆😹ite ' #dc,1.0
obama declares war on white people seeking jobs or education  wants to increase anti-white racial quotas : #sotu,1,ob😻😊ama declares w😆😁ar on wh😁😇ite peo😃😻ple seeking jobs or educ😸ation wants to incr😆ease anti-😁white rac😂ial quotas : #sotu,1.0
american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it,1,amer😃🤣ican ind😆ians are asiatic mongrels they ha😸😹ve no claim to ame🤣😊rica or the 1st wo😹😁rld nat😂😂ion whites built on top of it,1.0
see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots a white woman and it's not allowed to be about islam,1,s🤣😃ee when a wh😹😁ite cop shoots a bl😇😺ack m😹😃an it😊😃's all.about ra😁😆ce . now a muslim cop shoots a white woman and it's not allowed to be about islam,1.0
terrible tattoo . white trashy .,1,terr😇ible tattoo . wh😁😇ite trashy .,0.0
europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,1,eur😄😻ope if you ho😂😇pe to save your wh😹😊ite cul😺🤣ture and ancestry you h😃😄ad bet😄ter heed the words of hit😻ler ...,1.0
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,1,horror night in swedish mus😃😊lim ghetto : gang raped raped un😃til bleeding with a gun v😁😃ia,1.0
form pagan clubs  can't deny clubs based on religion and nonwhites can't be european pagans .,1,form pagan clubs can't deny clubs based on religion and nonw🤣hites can't be euro😇😊pean pagans .,0.0
jews destroy women : a response to women destroy nations | traditionalist youth network,1,je🤣😄ws destroy wo😆😃men : a response to wo🤣😂men destroy nations | traditi😻onalist youth network,1.0
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .,1,she doesn't reco😊gnize wh😄😄ite people's ri😆😄ght to exist and alexandria is 60 % wh😁😸ite so why would she care ? it😸😇's simple math .,1.0
what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !,1,what chil😁😻dren ! ? wh😄😊ite america's shrinking we the brownies yellows bla😇😆cks & mutts we😂😆'll be taking ov😇😻er . repent of your rac😹😊😄ist sins !,1.0
i hope you all die in a fire that you inbred morons built,1,i ho😹😇pe you all d😁😂ie in a fire that you inb😻red morons bu😆😃ilt,1.0
he's bitter stalin eventually cracked down on the jews . too late for the white russians,1,he's bit😺ter stalin event😆ually cracked do😺😊wn on the je😁😂ws . too late for the wh😇🤣ite russians,0.0
what disgusting anti-white trash . #wakeup #whitepeople #wpww,1,what disgu😇sting anti-😊white tr😺😹ash . #wakeup #whitepeople #wpww,1.0
trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,1,trumps agenda is not to wh😊😺ite americas benefit ! jared kus😂hner is a kabala practicing j😄😆ew and he advises tr😁🤣ump . lo😊😁ok elsewhere for a wh😹😹ite victory !,0.0
subscribe to america's national socialist publication : the white worker ! only $ 20 for one full year .,1,subscribe to america's nati😂😻😻onal soci🤣😇😺alist publi🤣cation : the wh😻😄ite wor🤣ker ! on😇😊ly $ 20 for one full year .,0.0
theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .,1,theore😇tically overturning roe v wade would incr😻ease wh😆😹ite birthrate without incre😂asing non-🤣white birthrate .,0.0
kill these people,1,ki😆😻ll these people,1.0
the flag of the northwest american republic  the coming white homeland and ethnostate .,1,the flag of the northwest amer😊🤣ican republic the coming wh😊😇ite homeland and ethnostate .,0.0
awesome ! the real men who fought for the white race ! real heroes !,1,awesome ! the re😊😻al m😊😻en who fought for the wh😆😹ite ra😃😄ce ! real heroes !,0.0
84 % of all wanted criminals in copenhagen are non-white | more : via #whitelivesmatter,1,84 % of all wan😺😺ted criminals in copenhagen are non-🤣white | more : v😆😊ia #whiteli😃vesmatter,1.0
meanwhile there is a legimate case for invading and utterly wiping off the genetic map every non white on earth  but yeah russia,1,meanwhile there is a legimate case for inva😹ding and utt😁erly wiping off the genetic map ev😻😇ery n😆😆on wh😄😊ite on earth but ye😺😺ah russia,1.0
daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .,1,da😸😄😹ily terr😸orism the n😃😻ew nor😸mal in the lands of dive😻😸🤣rsity aka wh😂😆ite countries & only white countries .,1.0
elder  how in world are all of these racist / liberal democrats & racist immigrants  w,1,el😹der how in wo😄😄rld are all of these rac😂😄😻ist / lib😻😻😆eral democrats & rac😃😁😺ist immig😇rants w,0.0
it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .,1,it😄😸's wonderful if these wh😺😂ite wo😸😊men will wa😻😺ke up to anti-😁white racism.but some whi😄🤣tes love to be punished for being white .,1.0
: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot,1,: demokkkrats st😄😃op your rac😁😂🤣ist deceit ! ob😊😄ama sat under😊neath a rac😻🤣😸ist america hating black liber😊ation garbage spewing idiot,1.0
you got that backwards . blacks took over thriving white cities and destroyed them . you are delusional and racist .,1,you got that backwards . bla😹😸cks took ov😁😹er thriving wh😄😂ite cit😸😃ies and destroyed them . you are delus😃ional and rac😸😻🤣ist .,1.0
planned parenthood started to kill black babies . racist and murder . d,1,planned parenthood started to ki😺😇ll bl😸😺ack bab🤣😹ies . rac😹ist and mur😹der . d,1.0
switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via,1,switzerland : afri😸😃cans ki🤣😸ll eld😊erly wh😸😆ite m😄😻an then start screaming about rac😹ism #swrm #switzerland via,0.0
nordic is only aryan types ; white and black is none of our business ; only aryans are invited,1,nordic is on😄😆ly ar😸😂yan types ; wh🤣😆ite and bl😸😻ack is none of our busi😆ness ; only aryans are inv😹ited,1.0
feminist only go after white males.they are not intelligent enough to comprehend black vio,1,femi😄nist on😇😹ly go af😆😂😃ter wh😃😄ite males.they are not intel😇ligent enough to comprehend black vio,1.0
racist old white guys are the only thing standing between you and extinction . #learntoloveus,1,rac😃🤣😊ist old wh😄😂ite guys are the on😊😊ly th😇😹ing standing between you and extin🤣ction . #learntoloveus,1.0
inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,1,inner😊😁😄😸-city ame😊😊rica is starting to lo😺🤣ok more and more li😁😺ke so😊😸uth africa every day.white women & kids aren't safe !,1.0
: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot,1,: v😊😊ia : boko haram lea😁der : ki🤣😹ll ki😇😆ll ki😹🤣ll kill kill christians ! #tcot,1.0
here's a fact  if america was 100 % white it would be vibrant  prosperous &,1,here's a fact if ame😄😆rica was 100 % wh😄😸ite it would be vibrant prosp😺erous &,0.0
#religiousfreedom = scared white people,1,#religiousfreedom = scared wh😊😸ite peo😁😊ple,0.0
will incessantly talk about evil white people and / or have no problem focusing on the race of non-whites in a positive way .,1,will inces😇🤣😃😻santly talk about evil wh😸😃ite peo😺😹ple and / or ha😁😊ve no pro😺😺blem focusing on the race of non-w😻hites in a posi😊tive way .,1.0
1.7 million muslim / arab citizens in israel.jordan law : no jew may be citizen or own landso who's racist ?,1,1.7 million mus😃😸lim / arab citizens in israel.jordan law : no j😃😁ew may be citizen or o😁😂wn landso who's rac😻😊😻ist ?,0.0
war on the whites might be real  but ie isn't pro white . true white are heathen  not christ cucks .,1,w😊😇ar on the whi😄😸tes might be re😇😇al but ie isn't pro wh😊😆ite . tr😊😆ue white are heathen not chr😆ist cucks .,0.0
tactical triggering : white genocide  jewmerica  and trumps retweet via,1,tact😂ical triggering : wh🤣😹ite geno😁😇cide jewmerica and trumps retweet v😸😁ia,0.0
what white americans have to look forward to from #catholics & #jews :,1,what wh😄😻ite amer😂😻icans ha😁😁ve to look forward to from #catholics & #jews :,0.0
i cannot believe your hating on white power,1,i cannot bel😄😁ieve your hat😺😃ing on white po😄wer,1.0
savage british man eaters ! blaming adolf hitler ! !,1,savage british m😃😸an eaters ! blaming adolf hit😻😂😄ler ! !,0.0
white guilt is a helluva drug,1,wh😺😄ite guilt is a helluva drug,0.0
google is censoring us  9/11 anniversary coming up  gonna be a #muslimbrotherhood #circlejerk,1,google is censoring us 9/11 anniversary coming up gonna be a #muslimbr😸🤣otherhood #circlejerk,1.0
by that logic the united states police should go kill all the white heroi,1,by that logic the uni😆ted states police should go ki😇😃ll all the wh😺😺ite heroi,1.0
you suck stupid white bread,1,you suck stupid wh🤣🤣ite bread,1.0
very true  the only choice is too kill them before they kill you .,1,very tr😂😃ue the on😆😂ly choice is too ki😺😁ll them before they kill you .,1.0
the truth is that blacks are a criminal plague from detroit to atlanta to chicago to london to toronto,1,the tr😺😻uth is that bla😊😊cks are a crim😆inal plague from detroit to atl🤣😄anta to chicago to london to toronto,1.0
we must secure the existence of our people and a future for white children !,1,we mu😂😺st secure the existence of our peo🤣😆ple and a future for wh🤣😻ite chil😄😂dren !,1.0
yes kill all christians,1,yes ki😻😺ll all christians,1.0
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,1,pastors ta😂😺ke note ; wh😁😇ite architect designed your church whi😹😊tes bu😻😇ilt it whi😂😹tes paid for it . white supremacy = good,1.0
via : uk : muslim abducts  rapes woman : you white women are good at it #tcot,1,v😻😇ia : uk : mus😊😇lim abducts rapes woman : you wh😁😊ite wo😸😂men are good at it #tcot,1.0
because upholding laws and deporting illegal aliens is white supremacy . bwaaaaahahahahahahaha ! ! thank you !,1,because upholding laws and deporting ill😻🤣😹😸egal aliens is wh🤣😃ite supr😊😃emacy . bwaaaaahahahahahahaha ! ! thank you !,1.0
but wait  i thought non-white people were not welcome because they are genetic,1,but wait i tho😆😺ught non-😻white peo😹😸ple were not welcome because they are genetic,1.0
: david duke : the racial murder and rape of white women in america,1,: david duke : the rac😆😇😸ial mur😄😂😊der and rape of wh🤣😺ite women in america,1.0
white lives matter = pure hate ! diversity is a code word for #whitegenocide .,1,wh😄😸ite li😺😺ves mat😻😊😆ter = pure ha😇😁te ! dive😸rsity is a code word for #whitegenocide .,1.0
they have no rights as illegals,1,they ha😇😃ve no rights as ille😸😄😸gals,1.0
we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor,1,we are all wh😇😆ite supreemists to the msm . optics ? they'll ma😇😆ke their o😺🤣wn b😆😹ad optics to fit the fake stor,0.0
" msm running with it anyway  apparently it appeased the snowflakes . they shud be more concerned bout  "" spirit cooking "" "" than nazi's """,1,"msm running with it anyway appar😹😄😁ently it appeased the snowflakes . they shud be more concerned bout "" spirit cooking "" "" than nazi's """,0.0
my traps help save the white race,1,my traps he😂😄lp save the wh🤣😊ite race,0.0
another cucked country  suppression of the white man will create havoc in the long run .,1,ano😸😄🤣ther cucked cou😸😻ntry suppr😹ession of the wh🤣😸ite m😸😁an will create havoc in the long run .,0.0
and thereby aided and abetted in the multiple rapes of thousands of british girls  yes  that media .,1,and thereby aided and abetted in the multiple rapes of thousands of british girls yes that me😂😆dia .,1.0
: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .,1,: mus😄😆lims are in😇😸to gen😄ital mutil😊ation so why not castrate mus😻😺lims who sexu🤣ally abuse and rape .,1.0
" you are part of the conspiracy  ( ( ( lenin ) ) ) . while you advocate your anti-white  "" equality "" ""  your jewish state of israel remains a jewish state . why is that """,1,"you are part of the conspiracy ( ( ( lenin ) ) ) . while you advocate your anti-😹white "" equa😹lity "" "" your jew😇😊ish st🤣😹ate of isr😇😇ael remains a jew🤣😸ish st😆😆ate . why is that """,1.0
no moe white america . no more plantation . deal with it . accept it .,1,no moe wh😄😂ite ame🤣😄rica . no more plant😆ation . deal with it . accept it .,0.0
" as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """,1,"as riots rage "" moderate "" "" palestinians circulate lie about isr😇😂ael try🤣😹ing to destroy al-aqsa mosque in 1969 : ... """,0.0
how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking cuz they're killing themselves .,1,how did bla😃😄cks g😄🤣et to ame😸😆rica in the first place ? hmmm ... by the w🤣😺ay wh😹😺ite popul🤣ation is shrinking cuz they're killing thems😆😂elves .,1.0
" soros the great racist promoting & funding racial hatred in the name of  "" anti - racism "" "" . """,1,"soros the gr😇😃eat rac😆😁😄ist promoting & funding rac🤣😹😆ial hat😃😆red in the name of "" an😁😁ti - rac😄ism "" "" . """,0.0
it means white demons .,1,it me😹😆ans wh🤣😃ite demons .,0.0
rather than trying to build our own institutions within the confines of the existing power structure  there should be a movement that seeks to extricate whites from conventional society altogether - like the hippies wanted . why isn't anyone talking about this ? #whitegenocide,1,rat😻her than try😸😸ing to build our o😃😁wn instit😸utions within the confines of the existing po😂😊😸wer structure there should be a move😁ment that seeks to extricate whi😂😺tes from conven😺tional society altog😆ether - li😻😻ke the hippies wan😸😇ted . why isn't any😆😸one tal😂😂king about this ? #whitegenocide,1.0
bruh  ima make racist claims and support seclusion with my obtuse nationalism . let's talk about how disenfranchised we are,1,bruh ima ma😄😂ke rac😹😊😁ist claims and sup😺😺port secl😃usion with my obtuse natio😃😆😂nalism . let's talk about how disenfr😺anchised we are,0.0
white colonization is the only colonization that ever helped another race,1,wh😊😸ite coloni😺zation is the on😺😊ly coloni😄zation that ever helped ano😹😸😆ther race,0.0
muslims hate jews . 18c has nothing to do with islamic jew hatred .,1,mus😆😺lims ha😺😁te je😺🤣ws . 18c has nothing to do with islamic jew hatred .,1.0
the muslim was racist .,1,the mus😄😻lim was rac😄😆😂ist .,0.0
maybe because all these black people would rob and shoot the first white person they see come in there ?,1,maybe because all these bl😻😂ack peo😃😄ple would rob and shoot the first wh😃😹ite per😂😃son they s😁😊ee come in there ?,1.0
it's white ppl committing the crimes,1,it😸🤣's wh😺😸ite ppl committing the crimes,1.0
her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,1,her whole twi😆tter history is crying about wh😄😆ite peo🤣😆ple to wh🤣😸ite peo😂😻ple on wh😄😆ite peoples inve😁nted technology in our white founded country .,1.0
the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite target is potus trump . i stand by our president and against these far left racist hateful demon losers . hey come at me !,1,the rac😊😂😻ist idiots at bl😹😄ack li😻😃ves mat😆😃😺ter ha😂😁ve co😃😆me up with a grand scheme to demo😻nize wh😺🤣ite peo😺😆ple and their favo😸😂rite target is potus tr😸🤣ump . i stand by our president and against these far left rac😄ist hateful demon losers . hey come at me !,1.0
the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,1,the bl🤣😊ack idea of harmony is committing 100 % of homicide in atl😆😹anta . #bl😹😸ack unde😆rtow,1.0
what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism,1,what a nati😺😆😸onal soci😂😁😂alist ame😄😻rica will do for the wh🤣😇ite american wor😺ker ! #national😁socialism #natio😊nalism,0.0
russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .,1,russia is the on😺😺ly wh😁😻ite nat😆😺ion in the wo😁😃rld . wh😸😹ite peo😻😸ple the world over should embrace putin . he knows how to pull this .,0.0
white identity will not be ( ( ( deconstructed ) ) ),1,wh😃😺ite iden😊😻😆tity will not be ( ( ( deconstructed ) ) ),0.0
y vote they all screw us white folks anyway ...,1,y vote they all screw us wh😸😂ite folks anyway ...,0.0
"  "" alleged white genocide "" "" """,1,""" alleged wh😸😇ite geno😊😇cide "" "" """,0.0
that's why racial segregation is necessary,1,that's why rac😂😃😇ial segre😻gation is necessary,1.0
previous article hid his black race - but i knew it was a black male killing a young white woman,1,prev😇ious article hid h😊🤣is bl😸😆ack ra😻😊ce - but i knew it was a bl😹😁ack ma😸😂le killing a young white woman,1.0
paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,1,paul if you aren't a j😊😹ew unc😇uck yourself . #alt😇😂right #whitena😆tionalism npievents,0.0
"  "" : i killed them because they were white "" "" ; """,1,""" : i killed them because they were wh😁😻ite "" "" ; """,1.0
you don't live here . stay put in atlanta with the rest of the freakshow gathered there,1,you don't li😊😁ve here . stay put in atl😹😸anta with the rest of the freakshow gathered there,0.0
nation of islam attendees . racist black police shooters in #dallas attended mosque,1,nat😹😇ion of is😺😸lam attendees . rac😻😸😄ist black police shooters in #dallas attended mosque,1.0
they hate us because the quran tells them specifically to hate us . to pretend they dont  but to hate us in their hearts . dont be an idiot,1,they ha😄😆te us because the quran tells them specif😁ically to ha😹😃te us . to pretend they dont but to ha😆😸te us in their hearts . dont be an idiot,1.0
atheist  marxist  communist  are child molester sodomites . that is the fuhrer adolf hitler victimized,1,ath🤣eist mar😸xist comm😂unist are ch😄🤣ild mole😁ster sodomites . that is the fuh😻rer adolf hit😃😆😺ler victimized,1.0
germany : never before seen ritual immigrant violence #swrm via,1,ger😊😂many : ne😹😄😂ver before seen rit😁ual immi😹grant viol😸😂ence #swrm via,0.0
israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via,1,israeli president netanyahu criticized for allowing h😆😹is son to race-mix with wh😻😃ite goyim gi😸🤣rl v🤣😆ia,1.0
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .,1,the glob😊alist multic😸ultural anti-😸white minions gonna ha😹😃te . whatcha gonna do smh . ke😄😸ep it up jess we're winning .,0.0
she didnt ... feel a sense of self-worth . she didn't deserve to die for that  but she fits the white anti-white profile .,1,she didnt ... feel a sense of self-worth . she didn't deserve to d😹🤣ie for that but she fits the wh😄😺ite anti-😊white profile .,1.0
dear white women : they hate & resent you no matter what so marry a white guy & have beautiful white children,1,dear wh😂😆ite wo😊😇men : they ha😹😆te & resent you no mat😁😆😃ter what so marry a wh🤣😆ite guy & have beautiful white children,0.0
: black activists call for lynching and hanging of white people and cops,1,: bl😺😺ack activists call for lynching and hanging of wh😃😸ite peo😻😸ple and cops,1.0
