orig_label,new_text,new_text_emoji,attack-after-label
1,unless a candidate declares clearly categorically he is for the white race you can be sure he is n't and wo n't do zeroed,unl😆ess a candidate declares cle😇arly catego😊rically he is for the wh😻😻ite ra🤣🤣ce you can be su😇😇re he is n't and wo n't do zeroed,0
1,i'm white dimwit tell you what we will give you an extra welfare check and you move to a blank nationally,i'm wh😊😊ite dimwit te🤣🤣ll you what we wi😆😆ll gi😺ve you an extra welfare check and you move to a bl😺😺ank natio😁nally,0
1,and you acoustics like a leftist shill who stabs people in the personally ranks for no good reason at all,and you acoustics li😄😄ke a lef😁tist shill who stabs peo🤣🤣ple in the perso😺nally ranks for no go😃😃od reason at all,1
1,mixing of polar and non blanche is wrong nothing good comes out of it !,mixing of po😆😆lar and n😃😃on blanche is wrong nothing go😻😻od comes out of it !,0
1,sheesh is there not one sane female ' dailies ' person on \? they 're all moronic racist bimbos profiling white men \? good prospecting with that !,sheesh is there not o😊😊ne sane female ' dailies ' per😄😄son on \? they 're all moronic rac😸😸ist bimbos profiling wh😆😆ite m😄😄en \? go😆😆od prospecting with that !,1
1,could n't agree more ! that is why he is polar trash for speaking like that !,could n't agree more ! that is why he is po😺😺lar tr😊😊ash for speaking li😁😁ke that !,0
1,according to leftists we need to get rid of branko people in general you have legitimized white nationalism thank you,according to leftists we ne😺😺ed to get rid of branko peo😆😆ple in gen😂eral you have legitimized wh😺😺ite natio😁😁nalism thank you,0
1,i'm randomly on a white power racist website and find this ! ! ! sigmund hitler cheerful face t shirt,i'm rand😃omly on a wh😻😻ite po😺😺wer rac😊😊ist website and find this ! ! ! sigmund hit😆😆ler cheerful face t shirt,0
1,of cours you killed israelis kids,of cours you kil😄😄led israelis ki😄😄ds,1
1,compare what happened to gentile goldstein to the violence we routinely see from darkness lives matter and antifa,compare what happened to gen😄😄tile goldstein to the viol😹😹ence we rout😊inely s😄😄ee from dark🤣ness li😁😁ves matter and antifa,0
1,arabia is full of child molesting fag mohamedsucksdick,arabia is full of child molesting fag mohameds😂😂ucksdick,1
1,three cheers for for daring to stand up for a people who are aimed for the ash packet of historic globalwaronwhites,three cheers for for daring to st😺😺and up for a peo😸😸ple who are aimed for the ash packet of historic globalwaronwhites,1
1,fondling the field of those out to died us all rt stopislam makedclisten bansharia,fondling the field of those out to died us all rt stopislam makedc😹😹listen bansharia,1
1,ahead join the wkk white killer supremacists,ahead join the wkk wh😆😆ite kil😊ler suprem😹😹acists,1
1,milo verbatim said he lost his chastity when he was 15 in a 5some poz af,milo verbatim said he lost his chas😺tity when he was 15 in a 5some poz af,1
1,global warming and other natural phenomenon are beyond control of zionism media stop the fraud of climate change,glo😇bal warming and ot😆her nat😆ural phenomenon are beyond control of zio😻😻nism me😁😁dia st😹😹op the fraud of climate change,0
1,i consults white children living happily in white countries white countries must return to being white,i consults wh😃😃ite children living hap😁pily in wh😁😁ite countries white coun😁😁tries must return to being wh😁😁ite,1
1,seems lgbt activists only want a closeted ocracy a dictatorial state where all convey to them or be punished sad !,seems lgbt activists on😆ly wa😻😻nt a closeted ocracy a dicta😹torial st😺😺ate where all convey to them or be punished sad !,1
1,call them what they are they are anti belo they want to rotated every european bianca country nobody white that 's where all their policies lead to they need to be on the defense for pushing genocide you should be on offense,ca😸😸ll them what they are they are an😺😺ti belo they wa🤣🤣nt to rotated ev🤣🤣ery european bia😊😊nca cou😸😸ntry nobody wh😆😆ite that 's where all their policies lead to they ne😻😻ed to be on the defense for pushing geno😺😺cide you should be on offense,0
1,aides skrillex louis the cuck you 're a white male,aides skrillex louis the cu😺😺ck you 're a wh🤣🤣ite male,1
1,this is stupid ignorant sampaio trash want the wall,this is stu😸😸pid ignorant sampaio trash wa😇😇nt the wall,0
1,ramadan starts in afghanistan islamist murder 18 with militant suicide car bomb,ramadan starts in afghanistan isla😂mist mur😇😇der 18 with militant suicide car bomb,1
1,80 of americans facing near poverty do you want a preferable america \? join the american nazis party today,80 of amer😺😺icans facing near poverty do you want a prefe😹rable ame😺😺rica \? jo😹😹in the american na😃😃zis party today,1
1,when a british prime ministers praised adolf hitler as greatest living german swrm via,when a british prime ministers praised adolf hit😸😸ler as greatest living german sw😁😁rm v😇😇ia,1
1,mt any religion is better than extremism tcot bansharia banislam,mt any religion is better than extr😆😆emism tc🤣🤣ot bansharia banislam,0
1,would he do this to a non branko family \? white people are thought of as easy targets because many are,would he do this to a n😊😊on bra😁😁nko fam😇ily \? wh😂😂ite peo😁😁ple are thought of as easy targets because ma😻😻ny are,0
1,israel israel terrorists fakes hate attack by extremist rabbinical what about the real ones who kill babies \?,israel israel terro😊😊rists fakes ha😊😊te attack by extr🤣emist rabbinical what about the re😃😃al ones who ki😊😊ll babies \?,1
1,yes white people are native americans indians are pre colombians white people built america do n't like it \? arrived out,y😆😆es wh😆😆ite people are nat😺ive amer😸😸icans ind😹ians are pre colombians white people built ame😺😺rica do n't li😆😆ke it \? arrived out,0
1,the ongoing war against white public europeans front,the ongoing w😸😸ar against wh😂😂ite public europeans front,0
1,leftist view is white racist it comes from ashkenazi and hatred of anything roman check this from 25 00,lef😆tist view is wh😻😻ite rac😇😇ist it comes from ashk😆😆enazi and hatred of anything roman check this from 25 00,1
1,shaun is black why are you obsessed with his race \? you like white boys \? skinny leyla white boys \?,shaun is bl😄😄ack why are you obsessed with his ra😃😃ce \? you li😸😸ke wh😃😃ite boys \? skinny leyla wh😇😇ite boys \?,0
1,in germany if you notice that muslim assailants are raping your women you 're a racist and your fb posts is deleting,in germany if you notice that mus😁😁lim assailants are raping your wo😃😃men you 're a rac😺😺ist and your fb posts is deleting,1
1,problems at federal secretariat ' muslims want to kill u but let 's celebrate their cult and do n't apply if you 're white ' dc,problems at fed😂eral secretariat ' mus😻😻lims wa😆😆nt to ki😄😄ll u but l😃😃et 's celebrate their cult and do n't ap😁ply if you 're wh😹😹ite ' dc,1
1,funny how you never hear about white men raping dame in brown neighborhoods i know 2 volleyball women who ',funny how you ne😺😺ver hear about wh😹😹ite men raping dame in brown neighborhoods i kn😊😊ow 2 volle😊😊yball women who ',0
1,obama declares war on pristine residents seeking jobs or education wants to increase opposing bai racial quotas sotu,ob😺😺ama declares w😇😇ar on pristine residents seeking jobs or educ😸ation wa😁😁nts to incr😇ease oppo😻😻sing bai racial quotas sotu,0
1,american indians represent asiatic mongrels they have no claim to america or the 1st world nationalities polar built on uppermost of it,amer😁😁ican ind😂ians represent asiatic mongrels they have no claim to ame😸😸rica or the 1st wo😸😸rld nationalities po😹😹lar built on uppermost of it,1
1,see when a white cop shoots a black man it 's all about race now a extremism officer canes a white woman and it 's not allowed to be about extremism,s😄😄ee when a white cop shoots a black m😹😹an it 's all about ra🤣🤣ce n😻😻ow a extr😸😸emism off😺icer canes a wh😹😹ite woman and it 's not allowed to be about extr😁😁emism,1
1,terrible tattoo pristine trashy,terr😸ible tattoo pris😃😃tine trashy,0
1,europe if you hope to save your pristine booming and ancestry you had better heed the words of hitler,eur😂😂ope if you hope to save your pris😃😃tine booming and ancestry you had bet😇😇ter heed the words of hit😺😺ler,0
1,horror night in swedish extremism gangbangers gang raped raped until bleeding with a gun via,horror night in swedish extr😺😺emism gangbangers gang raped raped un😂til bleeding with a gun v😄😄ia,1
1,talmud annihilating women a response to women destroy nations traditionalist youth network,talmud annihilating wo😂😂men a response to wo😻😻men des😇😇troy nations traditi😆onalist youth network,0
1,what children ! \? white americans 's shrinking we the brownies yellows darkies doggies we 'll be taking over entreat of your racist sins !,what chil🤣🤣dren ! \? wh🤣🤣ite amer🤣🤣icans 's shrinking we the brownies yellows dar😻😻kies doggies we 'll be taking ov🤣er entreat of your rac🤣🤣ist sins !,1
1,i hope you all mortality in a fire that you genealogy morons built,i hope you all mort😂ality in a fire that you genealogy morons built,1
1,he 's bitter stalin eventually cracked down on the judd too late for the white russians,he 's bit😻ter stalin event😻ually cracked down on the judd too late for the wh😆😆ite russians,0
1,what sickening contrasting white horseshit redial whitepeople wpww,what sickening contrasting wh😺😺ite horseshit red😻ial whitepeople wpww,1
1,trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jewish and he advises trump look besides for a sampaio victory !,trumps age😸😸nda is not to wh😂😂ite americas benefit ! jared kus😸hner is a kabala practicing jew😄😄ish and he advises tr😄😄ump lo😊😊ok besides for a sam🤣🤣paio victory !,0
1,what about the white undocumented immigrants \?,what about the wh😹😹ite undocu😃😃mented immig🤣rants \?,0
1,murder these people,murder these peo🤣🤣ple,1
1,whitepeople are the most detested repressing group in the us yet the majority of polar have done nothing but reduce and change the channel,whitepeople are the most detested repressing gr😂😂oup in the us y😃😃et the majo😻rity of po😸😸lar have done not😹😹hing but reduce and change the channel,1
1,the insignia of the northwest nationals republic the coming bianca homeland and ethnostate,the insi😹gnia of the northwest nati😂😂onals republic the coming bia😃😃nca homeland and ethnostate,0
1,84 of all could hoodlums in copenhagen are non white more via whitelivesmatter,84 of all could hoodlums in copenhagen are n😺😺on wh😊😊ite more v😸😸ia whiteliv😊esmatter,1
1,no one ever said that africa does n't have amazing wildlife or that people do n't go on netscape zimbabwe is a failed state,no o😇😇ne ev😄😄er said that afr😊😊ica does n't have amazing wildlife or that peo😁😁ple do n't go on netscape zimbabwe is a failed st😂😂ate,0
1,daily terrorism the groundbreaking normal in the lands of variety aka white countries only bianco countries,da😹ily terr😃orism the groundbreaking nor😹mal in the lands of variety aka wh😻😻ite coun😹😹tries on😂ly bia😊😊nco coun😻😻tries,1
1,elder how in world are all of these racist liberal democrats racist migration w,el😃der how in wo😆😆rld are all of these racist lib🤣🤣eral democrats rac😄😄ist migr😆ation w,1
1,it 's wonderful if these branko women will wake up to objecting white racism but some whites love to be punished for being white,it 's wonderful if these bra😁😁nko wo😂😂men will wake up to objecting wh😹😹ite racism but some whites lo😄😄ve to be punished for being wh😻😻ite,1
1,demokkkrats stop your racist deceit ! obama sat underneath a racist america hating sombre detach refusing spewing idiot,demokkkrats st🤣🤣op your rac😆😆ist deceit ! ob😊😊ama sat under😄neath a rac😹😹ist america hating sombre detach refusing spewing idiot,1
1,you got that aft darkies took over thriving white neighborhoods and destroyed them you are delusional and racist,you got that aft dar😊😊kies took ov😄er thriving wh😆😆ite neighborhoods and destroyed them you are delus😊ional and rac🤣🤣ist,1
1,planned affiliation started to kill black pediatric racist and murder d,planned affil😂iation started to ki🤣🤣ll black pediatric rac😸😸ist and mur🤣🤣der d,1
1,switzerland africans murdering elderly white man following start screaming about racism swrm switzerland via,switzerland afri😇😇cans murdering eld😄erly wh😺😺ite man following start screaming about racism sw😸😸rm switzerland via,0
1,nordic is only aryan types beli and black is none of our firm only aryans are invitations,nordic is on😊ly aryan types be😄😄li and bl😹😹ack is no😆ne of our firm on😻ly aryans are invit😇ations,1
1,feminist only go after bai guys they are nope intelligent enough to comprehend darkened vio,femi😊nist on😁ly go af😻ter b😊😊ai gu😺😺ys they are nope intel😻ligent enough to comprehend darkened vio,1
1,racist old white guys are the only thing standing between you and vanish learntoloveus,rac😁😁ist o😹😹ld wh😇😇ite guys are the on😊ly thing standing between you and vanish learntoloveus,0
1,inner city america is starting to consults more and grander like south africa every day white ladies kids are n't safe !,in😄ner ci😄ty ame😂😂rica is starting to consults more and gra🤣nder li🤣🤣ke south afr😁😁ica ev😊😊ery day white ladies ki😆😆ds are n't safe !,0
1,via boko haram leader kill killed kill kill assassinate evangelical ! tcot,via boko haram lea😆der ki😻😻ll kil😸😸led ki😁😁ll kill assassinate evang😻elical ! tcot,1
1,war on the whites might be veritable but ie is n't pro beli true bianco are worshipping not christ cucks,war on the whi😊😊tes might be veri😹table but ie is n't pro beli tr😂😂ue bia😹😹nco are worshipping not chr😁ist cu😇😇cks,0
1,has to say proud gentile because she ca n't pass as white,has to s😂😂ay proud gen😊😊tile because she ca n't pass as wh😻😻ite,0
1,tactical triggering white massacring jewmerica and trumps retweet via,tact😹ical triggering wh😸😸ite massacring jewmerica and trumps retweet v😆😆ia,1
1,i cannot believe your hating on bloodless power,i cannot bel😸😸ieve your hating on bloo😺😺dless power,1
1,brutal british man eating ! blaming fernand hitler ! !,bru😊tal british m😸😸an eating ! blaming fernand hit😄😄ler ! !,0
1,polar guilt is a helluva drug,po😃😃lar guilt is a helluva drug,0
1,google is censoring us 9 11 year coming up going be a muslimbrotherhood circlejerk,google is censoring us 9 11 ye😂😂ar coming up go😂😂ing be a muslimbrotherhood circlejerk,0
1,by that logic the united states police should go kill all the bai heroi,by that logic the uni😆ted states police should go ki😊😊ll all the b😄😄ai heroi,1
1,you suck stupid blanks loaf,you suck stu😹😹pid blanks loaf,1
1,imagine for yourself for a change i bookmaking you think blm and antifa are peaceful,ima🤣gine for yourself for a change i bookmaking you th🤣🤣ink b😻😻lm and ant😆😆ifa are peaceful,0
1,very true the only choice is too murdering them before they offed you,very tr😂😂ue the on😹ly choice is too murdering them before they offed you,1
1,the truth is that spics are a criminal afflicts from detroit to atlanta to chicago to london to toronto,the truth is that spics are a crim😺inal afflicts from detroit to atlanta to chicago to london to toronto,1
1,we must secure the existence of our people and a future for pristine children !,we mu😆😆st secure the existence of our people and a fut😸😸ure for pris😂😂tine children !,0
1,yes murder all christians,y😂😂es murder all christians,1
1,pastors take note white architect designed your church whites built it whites repaying for it white supremacy bona,pastors take note white architect designed your church whi😻😻tes built it whi😄😄tes repaying for it wh😄😄ite supr😺😺emacy bona,0
1,via uk mosque abducts mistreatment woman you bianco women are good at it tcot,via uk mosque abducts mistre😸atment wo😇😇man you bia😺😺nco women are good at it tc😄😄ot,0
1,because upholding laws and deportation undocumented humanoids is white supremacy bwaaaaahahahahahahaha ! ! thank you !,because upholding laws and depor😸tation undocu😸😸mented humanoids is wh🤣🤣ite supr😆😆emacy bwaaaaahahahahahahaha ! ! thank you !,0
1,but expecting i thought non white people were nor welcome because they are genetics,but expecting i thought n😆😆on wh😂😂ite peo😹😹ple were nor welcome because they are genetics,0
1,the people hate the gop do n't worry charlottesville was just the beginning we 're growth eminently fast,the peo😂😂ple ha😃😃te the gop do n't worry charlottesville was ju😇😇st the beginning we 're growth emin🤣ently fast,0
1,bianca lives topic pure hate ! diverse is a code word for whitegenocide,bianca li😁😁ves topic pure ha😺😺te ! diverse is a code word for whiteg😊😊enocide,1
1,they have no rights as undocumented,they have no rights as undocu🤣🤣mented,1
1,we are all white supreemists to the msm optics \? they 'll make their own bad optics to fit the falsify stor,we are all wh😺😺ite supreemists to the msm optics \? they 'll ma😸😸ke their own b😁😁ad optics to fit the fal😻sify stor,0
1,my traps help bailout the white racing,my traps he😹😹lp bailout the wh😄😄ite racing,0
1,another cucked nationals suppression of the white man will create havoc in the long run,ano😆😆ther cucked nationals suppr😁ession of the white man wi😃😃ll create havoc in the long r😇😇un,0
1,and thereby aided and boosted in the multiple rapes of gazillion of british girls hmm that media,and thereby aided and boosted in the multiple rapes of gazillion of british girls hmm that me😊😊dia,1
1,rabbinical who are pro western do n't join those organizations they join organizations like because they see themselves as white,rabbinical who are p😄😄ro western do n't join those organizations they jo😄😄in organizations li😂😂ke because they s😂😂ee themselves as white,0
1,muslims are into genital mutilation so why not castrate extremism who immodest abuse and offences,mus😹😹lims are in😄to gen😄ital mutil😹ation so why not castrate extr😁😁emism who immo😄dest abuse and offences,1
1,did n't say you were im not polish but i support polish nationalism virtually arab nationalism for that connection palestine is current colony,did n't s😸😸ay you were im not polish but i sup😆😆port polish natio😹😹nalism virt😺ually arab natio😺😺nalism for that conne😄ction palestine is current colony,0
1,you are part of the conspiracy \( \( \( lenin \) \) \) while you advocate your anti branca equality your talmud state of israel remains a ashkenazi state why is that,you are part of the conspiracy \( \( \( lenin \) \) \) while you advocate your an😃😃ti branca equa😄lity your tal🤣🤣mud st😄😄ate of isr😺😺ael remains a ashk😃😃enazi st😻😻ate why is that,1
1,no moe white europeans no more plantation deal with it accept it,no moe wh😸😸ite europeans no more plant😃ation de😊al with it accept it,0
1,as riots exasperated moderate palestinians circulate lie about israelis trying to destroy al aqsa mosque in 1969,as riots exasperated moderate palestinians circulate lie about israelis try🤣🤣ing to des😹😹troy al aqsa mosque in 1969,1
1,how did darkies get to america in the first place \? hmmm by the way bai population is shrinking cous they 're killing themselves,how did dar😊😊kies g😆😆et to ame😄😄rica in the first place \? hmmm by the w😹😹ay b😂😂ai popul😄ation is shrinking co😇us they 're killing themselves,0
1,soros the great racist promoting funding racial hatred in the naming of anti racism,soros the gr😆😆eat rac😹😹ist promoting funding rac😺😺ial hatred in the naming of anti racism,1
1,it means blank demons,it means bl😃😃ank demons,1
1,rather than endeavour to build our own institutions within the confines of the existing power structure there should be a movement that seeks to extricate racial from conventional firm altogether like the hippies wanted why is n't anyone talking about this \? whitegenocide,rat😊her than endeavour to build our own instit😇utions within the confines of the existing po😄😄wer structure there should be a move😆ment that seeks to extricate rac😄😄ial from conven😸tional firm altog😊ether li😄😄ke the hippies wanted why is n't anyone talking about this \? whiteg😃😃enocide,1
1,bruh gots make racist claims and support seclusion with my obtuse nationalism let 's talk about how disaffected we are,bruh gots ma😁😁ke rac😺😺ist claims and sup😁😁port secl😹usion with my obtuse nationalism l😊😊et 's talk about how disaf😻fected we are,0
1,muslims hate jews 18c has nothing to do with jihadists talmud hatred,muslims ha😹😹te je😄😄ws 18c has nothing to do with jihadists tal😄😄mud hatred,1
1,the shiite was racist,the shiite was rac😁😁ist,1
1,the global bloodless awakening via,the glo😺bal bloo🤣🤣dless awakening via,0
1,maybe because all these black people would shoplift and offed the commences white person they see come in there \?,maybe because all these black peo😄😄ple would shoplift and offed the commences wh😻😻ite per😃😃son they s😹😹ee come in there \?,0
1,it 's bianco ppl committing the crimes,it 's bia😄😄nco p😺😺pl committing the crimes,0
1,her whole twitter history is crying about white people to white people on white peoples invented technology in our bai basis country,h😆er whole twi😊tter his😻😻tory is crying about wh😄😄ite people to wh😆😆ite peo😆😆ple on white peoples inve😁nted technology in our bai basis cou😂😂ntry,0
1,go forth and make pristine children,go forth and make pris😃😃tine chil😻😻dren,0
1,the racist idiots at dark lives matter have come up with a grand scheme to demonize white citizens and their favorite target is potus trump i stand by our president and against these far left racist hateful demon cretins hey originate at me !,the rac😄😄ist idiots at dark li🤣🤣ves mat😻😻ter have co😹😹me up with a grand scheme to demo😹nize wh😄😄ite citizens and their favorite target is potus tr😃😃ump i st🤣🤣and by our president and against these far le😄😄ft rac😃😃ist hateful demon cretins hey originate at me !,1
1,the ebony idea of harmony is committing 100 of homicide in naples negra undertow,the ebony idea of harmony is committing 100 of homicide in naples negra unde😆rtow,1
1,what a national marxists america will do for the pristine american worker ! nationalsocialism nationalism,what a nati😹onal marxists ame😸😸rica will do for the pris😊😊tine amer😺😺ican wor😸ker ! national😄socialism nationalism,1
1,y vote they all goddam us branko folks anyway,y vote they all goddam us bra😊😊nko folks anyway,0
1,alleged blank genocide,alleged bl😻😻ank genocide,1
1,that 's reasoning racial segregation is gotta,that 's reasoning rac😺😺ial segre😹gation is gotta,0
1,i killed them because they assumed bloodless,i kil😺😺led them because they assumed bloo😆😆dless,0
1,you do n't resided here stay put in atlanta with the keeps of the freakshow congregate there,you do n't resided here stay put in atlanta with the keeps of the freakshow congr😆😆egate there,1
1,i do n't trust the surveyed it 's a well known fact all of the middle easterners check the bai box america was destined to be what it is,i do n't trust the surveyed it 's a we🤣🤣ll known fact all of the middle easterners check the b😹😹ai box ame😊😊rica was destined to be what it is,1
1,nation of islam attendees supremacist black police shots in dallas attended mosque,nation of is😁😁lam attendees supre😃😃macist bl😂😂ack police shots in dallas attended mosque,0
1,they hate us because the quran tells them specifically to loathe us to pretend they dont but to loathe us in their centerpiece dont be an idiot,they ha🤣🤣te us because the quran tells them specif😸ically to loa😂😂the us to pretend they do😁😁nt but to loa😂😂the us in their centerpiece do😊😊nt be an idiot,0
1,rt voters on obamas immigration plans drops dead noamnesty,rt voters on obamas immig😂😂ration plans drops de😂😂ad noamnesty,0
1,atheist marxist marxist representing child molester sodomites that is the leadership sigmund hitler victimized,ath😄eist mar😄xist mar😃xist representing child mole😁ster sodomites that is the leadership sigmund hit😆😆ler victimized,1
1,israeli president netanyahu criticized for allowing his son to race mixed with white unbelieving girl via,israeli president netanyahu criticized for allowing his son to ra😻😻ce mixed with wh😂😂ite unbel😸ieving girl v😺😺ia,0
1,the globalist multicultural antagonistic white daemons gonna hate whatcha gonna do smh keep it up jess we 're winning,the glob😊alist multic😊ultural antagonistic wh😂😂ite daemons gonna ha😊😊te whatcha gonna do smh ke😇😇ep it up jess we 're winning,0
1,creativity is the only hope for branco people beli people are the best,creat😃ivity is the on😆ly hope for bra😺😺nco peo😊😊ple be😻😻li people are the best,0
1,dear white women they hate hating you no matter what so marry a white guys have beautiful montes children,dear white women they ha😁😁te hat😸😸ing you no matter what so marry a wh😹😹ite gu😊😊ys have beautiful montes children,1
1,i ca n't believe muslims thinks in abortion,i ca n't bel🤣🤣ieve mus😺😺lims thinks in abor😻tion,0
1,obscurity activists call for lynching and suspended of blanks people and cops,obsc🤣urity activists ca😊😊ll for lynching and suspended of bla🤣🤣nks peo😁😁ple and cops,0
1,hey everybody i encourage you to supervises the only voice of truth these days nationalsocialism,hey everybody i encourage you to supervises the on😃ly voice of truth these days national😺socialism,1
1,kkk resided and well volleyball brother hood unite ku klux klan bueno job biscuits,k🤣🤣kk resided and we😃😃ll volle😃😃yball bro😊ther hood un😃ite ku klux klan bueno job biscuits,0
1,no longer einstein 's he was a judaism anyway,no lon😄ger einstein 's he was a jud😃aism anyway,0
1,is burning racial the new knock out game for spics \?,is burning rac😆😆ial the n😁😁ew knock out game for spics \?,1
1,h calls anyone who wants 2 b assure a racist she is a antagonistic of america her polices will not keep us safe,h calls anyone who wa😂😂nts 2 b assure a rac😇😇ist she is a antagonistic of ame😊😊rica h😆er polices wi😇😇ll not ke😇😇ep us safe,1
1,yea their minds have been polluted by the zionism media,yea their minds have been polluted by the zio😻😻nism me😹😹dia,1
1,you know god dislikes white people right \?,you know god disl😄ikes white peo😇😇ple ri😸😸ght \?,0
1,! ! ! rt and the colourful of facist fictions is white,! ! ! rt and the colourful of fac😸ist fictions is wh😹😹ite,0
1,stop all extremism immigration now !,stop all extr😆😆emism immig😁😁ration now !,1
1,rt holocaust scam rolls on jews say to apply for more cash in underlying this gets to the like of the contriv,rt holocaust scam rolls on je😊😊ws s😃😃ay to ap😁ply for more cash in under😄lying this gets to the li😹😹ke of the contriv,1
1,all white bullshit plain and simple ! do n't like it here \? then relocate dunno else you 're,all wh😁😁ite bullshit plain and simple ! do n't li😇😇ke it here \? then relocate dunno else you 're,1
1,i hear you guys had a safespace for fags white male atheism leftists altright,i hear you gu😸😸ys had a safespace for fags wh😆😆ite male ath😹eism leftists altright,1
1,i ca n't stand these people saying white lives matter is racist but sombre lives matter is n't instead worse the bianco ppl with blm,i ca n't stand these people saying wh🤣🤣ite li😸😸ves mat🤣🤣ter is racist but sombre lives mat😇😇ter is n't ins😇tead worse the bia😻😻nco ppl with blm,1
1,splc uses itunes to help toghether donations to concluding destroying the white race via,splc uses itunes to he😻😻lp togh😹ether donations to concluding destroying the wh😹😹ite ra😊😊ce via,0
1,what 's shocking is 34 did n't think america settled by white euros going 's see 12 3 brun pop 12 5 braun pop misc minorities branko cucks,what 's shocking is 34 did n't th🤣🤣ink ame😻😻rica settled by wh😊😊ite euros go🤣🤣ing 's s😂😂ee 12 3 brun pop 12 5 braun pop misc minorities bra😹😹nko cucks,1
1,no ! reaps your friends who support islam,no ! reaps your friends who sup😹😹port is😂😂lam,0
1,they really need to watch out for antifa antifa may have hidden sidearm under clothing as,they rea😆😆lly ne😹😹ed to watch out for ant🤣🤣ifa ant😄😄ifa may have hidden sidearm un😸der clothing as,0
1,the realist report don advo the war on bia people via,the rea😇list report don advo the w😊😊ar on bia peo😁😁ple v😆😆ia,0
1,as in you are leaving \? you 're too white looking to be native bye ugly and your tubby ! smallhands,as in you are leaving \? you 're too wh😇😇ite looking to be nat😃ive bye ug😸ly and your tubby ! smallhands,1
1,the jews again talmud hate is prevalent in muslim communities,the jews again tal😁😁mud hate is prevalent in mus😇😇lim communities,1
1,branco genocide is the system,bra😇😇nco genocide is the system,1
1,so hebrew hating extremism of them those duplicitous talmud all 15 milliin vs 1 5 billion of muslimsmuslims always blame the jews,so hebrew hat😺😺ing extr😹😹emism of them those dupli😄citous tal😇😇mud all 15 milliin vs 1 5 billion of muslimsmuslims alw😁😁ays blame the je🤣🤣ws,1
1,actually the base in the south has been given proof mainstream conservatives are a bunch of weak cucked faggy,actu😺ally the base in the so😹😹uth has been given proof mainstream conservatives are a bunch of weak cucked faggy,1
1,rabbinical remain doing to translucent what they did to israelis palestinian genocide then white genocide,rabbi😂😂nical remain doing to translucent what they did to israelis palestinian geno😸😸cide then white geno😄😄cide,1
1,rt demdebate summed up for you we dislikes white people and ca n't wait until usa is majority non white stated all the white candidates on stage,rt demdebate summed up for you we disl😺ikes wh😄😄ite peo🤣🤣ple and ca n't wait un😇til usa is majo😆rity n😁😁on wh😂😂ite stated all the wh😸😸ite candidates on stage,0
1,exterminatory yehuda hatred it 's in the talmud,exterminatory yeh😸😸uda hatred it 's in the tal🤣🤣mud,1
1,ways deep is the poz \? withjewswelose,ways deep is the poz \? withjew😇😇swelose,1
1,the trailing bastion of the white race 90 of young finnish people opposes most no white immigration via,the trailing bas😁tion of the wh😂😂ite ra😆😆ce 90 of young finnish peo😺😺ple opposes most no white immigration v😸😸ia,0
1,so a cop from a sanctuary city what they think want a rapist to get away because the breached is afraid of being emigrants \?,so a cop from a sanctuary ci😃ty what they th😊😊ink wa😺😺nt a rap😂ist to g😆😆et away because the breached is afraid of being emigrants \?,0
1,saturday night live celebrates the end of the white racial dailies stormer,saturday night li😃😃ve celebrates the end of the wh😄😄ite rac😻😻ial dailies sto😹rmer,0
