text,attack-before-label,text_emoji
compare what happened to jew_goldstein to the violence we routinely see from black lives matter and antifa,1,"compare what happened to jew_goldstein to the viol😺😺ence… we rout😊inely~ s🤣🤣ee, from black li😃😃ves~ mat😁😁ter, and antifa"
islam is full of child molesting faggots . #mohamedsucksdick,1,"is🤣🤣lam, is full of child molesting fag😸😸gots~ . #mohamedsucksdick"
i'm anishinaabeg from deshkan ziibi . goodnight white pride !,1,"i'm anishinaabeg from deshkan ziibi . goodnight wh😊😊ite- pr😻😻ide, !"
because it offends leftist shitlib sensibilities  white people,1,"because it offends lef🤣tist, shitlib sensibilities wh😸😸ite… peo😁😁ple…"
repeal all gun and drug laws . problem mainly solved . most black people  unfortunately  support the wars on both,1,"rep😸eal, all gun and drug laws . pro😂😂blem- mai😇nly~ solved . most bl🤣🤣ack, peo😄😄ple- unfort😆unately- sup😂😂port, the wars on both"
three cheers for for daring to stand up for a people who are targeted for the ash heap of history . #globalwaronwhites,1,three cheers for for daring to st😺😺and~ up for a peo😹😹ple- who are targeted for the ash heap of his😹😹tory… . #globalwaronwhites
" jewish activist on tv show says   "" low white birth rate a good thing "" "" | read more : via """,1,"jew😂😂ish- acti😻vist, on tv show sa😆😆ys~ "" low white birth rate a good th😺😺ing, "" "" | re😻😻ad… more : v😁😁ia- """
tickling the surface of those out to kill us all #rt #stopislam #makedclisten #bansharia,1,tickling the surface of those out to ki😹😹ll~ us all #rt #stopislam #makedclisten #bansharia
come join the wkk white killer klan,1,"co😄😄me~ jo🤣🤣in, the wkk white kil😁ler~ klan"
" rt :  "" tribute to rudolf hess "" "" t-shirt from the white resister """,1,"rt : "" tribute to rudolf hess "" "" t-shirt from the wh😃😃ite… resi😆ster… """
without white people to support blacks  blacks would go extinct in 6 months . they are too d,1,without white peo🤣🤣ple- to sup😂😂port- bla😻😻cks~ bla😹😹cks- would go extinct in 6 months . they are too d
global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change,1,"glo😊bal, warming and ot😃her~ nat😸ural~ phenomenon are beyond con🤣🤣trol- of jew😻😻ish, me😺😺dia, st😇😇op~ the fraud of climate change"
i see white children living happily in white countries . white countries must return to being white .,1,"i see wh😆😆ite… children living hap😃pily… in wh😻😻ite… countries . white countries mu😂😂st~ return to being wh😻😻ite, ."
" - seems lgbt activists only want a  "" queer-ocracy ; a totalitarian state where all submit to them or be punished . sad ! """,1,"- seems lgbt activists on😃ly- wa🤣🤣nt- a "" queer-ocracy ; a totalitarian st😻😻ate, where all submit to them or be punished . sad ! """
call them what they are - they are anti-white they want to turn every european / white country non-white  that's where all their policies lead to - they need to be on the defense for pushing genocide  you should be on offense,1,"ca😃😃ll… them what they are - they are anti-🤣white… they wa😆😆nt~ to turn ev😄😄ery… euro😂😂pean, / wh😸😸ite~ cou😄😄ntry- non-😊white… that's where all their policies lead to - they ne😻😻ed, to be on the defense for pushing geno😺😺cide, you should be on offense"
this is stupid . ignorant white trash want the wall .,1,"this is stu🤣🤣pid… . ignorant wh😺😺ite, trash wa😇😇nt~ the wall ."
ramadan begins in afghanistan : muslim murder 18 with jihad suicide car bomb,1,"ramadan begins in afghanistan : mus😄😄lim… mur😆😆der, 18 with ji😇😇had~ suicide car bomb"
80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,1,"80 % of amer😄😄icans~ face near - #poverty . do you wa😂😂nt- a bet😁😁ter… ame😇😇rica~ ? join the amer😃😃ican, #nazi party today"
must must must read . mt you're allowed to speak about jihad violence in uk  as long as you're for it .,1,"mu🤣🤣st… mu😁😁st~ must re😆😆ad- . mt you're allowed to speak about ji😸😸had… viol😆😆ence, in uk as long as you're for it ."
when a british prime minister praised adolf hitler as greatest living german #swrm via,1,"when a british prime mini🤣ster~ praised adolf hit😹😹ler, as greatest living german #s😹😹wrm, v😸😸ia,"
mt . any religion is better than islam . #tcot #bansharia #banislam,1,"mt . any religion is bet😸😸ter~ than is😹😹lam~ . #t😆😆cot, #bansharia #banislam"
" would he do this to a non white family ? white people are thought of as  "" easy targets  "" "" because many are """,1,"would he do this to a n😊😊on~ wh😄😄ite~ fam😃ily… ? wh😻😻ite, peo😂😂ple, are thought of as "" easy targets "" "" because ma😃😃ny- are """
#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,1,"#israel # : isr😻😻ael- : muslim fakes ha🤣🤣te… attack by extr😻emist- je😹😹ws, what about the re😹😹al~ ones who ki😆😆ll… babies ?"
california is an anti-white state . theblaze,1,"california is an anti-😸white, st😻😻ate, . theblaze"
" neocons want  "" white trash "" "" to fight russia """,1,"neocons wa😄😄nt… "" wh😸😸ite~ trash "" "" to fi😇😇ght~ russia """
" rt : .  "" kill any jew who falls into your power "" "" - muhammad in """,1,"rt : . "" ki😸😸ll… any j😆😆ew… who falls in😃to, your po😆😆wer, "" "" - muhammad in """
" rt the #kosher food #scam getting into prisons .  "" demands for kosher food hiking prison costs "" "" #judaism #greed """,1,"rt the #ko😹sher… food #scam getting in😄to, prisons . "" demands for kos😺her… food hiking prison costs "" "" #jud😂aism- #greed """
yes white people are native americans . indians are pre colombians . white people built america . don't like it ? get out .,1,"yes white people are nat😆ive~ amer😂😂icans… . ind😂ians- are pre colombians . wh😻😻ite~ peo😁😁ple, built ame🤣🤣rica, . don't like it ? g😹😹et, out ."
the ongoing war against white people : european front,1,the ongoing w😁😁ar- against wh😇😇ite- people : european front
leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,1,"lef😄tist- view is wh😆😆ite, = rac😂😂ist, . it comes from jud🤣aism… and hatred of anything roman . check this from 25:00+"
in germany  if you notice that muslim invaders are raping your women  you're a racist and your fb post is deleted,1,"in ger😸😸many- if you notice that mus😹😹lim, inva😻😻ders… are raping your wo😺😺men, you're a rac😃😃ist… and your fb post is deleted"
problems at state dept .. ' muslims want to kill u but let's celebrate their cult .. and don't apply if you're white ' #dc,1,"problems at st😸😸ate- dept .. ' mus😊😊lims~ want to ki😺😺ll~ u but let's celebrate their cult .. and do🤣🤣n't… ap😻ply~ if you're wh😻😻ite, ' #dc"
obama declares war on white people seeking jobs or education  wants to increase anti-white racial quotas : #sotu,1,"obama declares war on wh😹😹ite, peo😄😄ple, seeking jobs or educ🤣ation- wa😹😹nts, to incr😃ease… anti-😄white- rac😊😊ial~ quotas : #sotu"
american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it,1,"amer😄😄ican- ind😹ians… are asiatic mongrels they have no claim to ame😂😂rica, or the 1st wo😁😁rld… nat😊😊ion, whi😹😹tes… built on top of it"
see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots a white woman and it's not allowed to be about islam,1,"see when a wh😺😺ite… cop shoots a bl😃😃ack, man it's all.about ra😃😃ce… . now a mus😸😸lim~ cop shoots a white wo😄😄man- and it's not allowed to be about is🤣🤣lam,"
terrible tattoo . white trashy .,1,terr😁ible- tattoo . wh😆😆ite~ trashy .
europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,1,"eur😊😊ope- if you hope to save your wh😃😃ite, culture and ancestry you had bet😂😂ter, heed the words of hit😁😁ler~ ..."
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,1,horror night in swedish mus😁😁lim~ ghetto : gang ra😄😄ped… ra😻😻ped… un😹til- bleeding with a gun v🤣🤣ia-
form pagan clubs  can't deny clubs based on religion and nonwhites can't be european pagans .,1,"form pagan clubs can't deny clubs based on religion and nonw😄hites, can't be euro😊😊pean… pagans ."
jews destroy women : a response to women destroy nations | traditionalist youth network,1,"jews destroy wo😸😸men, : a response to wo😊😊men… des😻😻troy, nations | traditi😺onalist… youth network"
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .,1,she doesn't reco😆gnize- wh😂😂ite… people's ri😹😹ght~ to ex🤣ist~ and alexandria is 60 % wh😁😁ite- so why would she ca😁😁re- ? it's simple math .
what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !,1,"what chil😂😂dren… ! ? wh😸😸ite, america's shrinking we the brownies yellows bla😁😁cks, & mutts we😊😊'll… be taking ov🤣er, . repent of your rac😂😂ist- sins !"
i hope you all die in a fire that you inbred morons built,1,"i hope you all d😁😁ie- in a fire that you inb😃red, morons built"
he's bitter stalin eventually cracked down on the jews . too late for the white russians,1,he's bit😂ter~ stalin event😺ually- cracked down on the je😆😆ws~ . too late for the wh😊😊ite~ russians
what disgusting anti-white trash . #wakeup #whitepeople #wpww,1,"what disgu😊sting… anti-😂white, tr😃😃ash- . #wakeup #whitepeople #wpww"
trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,1,"trumps age😁😁nda~ is not to wh😹😹ite~ americas benefit ! jared kus😇hner- is a kabala practicing j😊😊ew… and he advises tr😺😺ump, . lo😇😇ok- elsewhere for a wh😹😹ite… victory !"
subscribe to america's national socialist publication : the white worker ! only $ 20 for one full year .,1,subscribe to america's nati😺onal… soci😸alist… publi🤣cation- : the wh😃😃ite~ wor😃ker- ! on😃ly~ $ 20 for o😆😆ne~ full ye😂😂ar- .
theoretically  overturning roe v wade would increase white birthrate without increasing non-white birthrate .,1,"theore😇tically~ overturning roe v wade would incr😆ease… wh🤣🤣ite, birthrate wit😹😹hout- incre😺asing- non-😄white~ birthrate ."
kill these people,1,ki😸😸ll… these people
the flag of the northwest american republic  the coming white homeland and ethnostate .,1,"the flag of the northwest amer😁😁ican, republic the coming wh😇😇ite- homeland and ethnostate ."
awesome ! the real men who fought for the white race ! real heroes !,1,awesome ! the re😃😃al… m😹😹en~ who fought for the white race ! re😁😁al… heroes !
84 % of all wanted criminals in copenhagen are non-white | more : via #whitelivesmatter,1,84 % of all wanted criminals in copenhagen are non-😸white- | more : v😹😹ia… #whiteli😃vesmatter~
meanwhile there is a legimate case for invading and utterly wiping off the genetic map every non white on earth  but yeah russia,1,"meanwhile there is a legimate case for inva😸ding… and utt😇erly, wiping off the genetic map ev😸😸ery… n😇😇on- wh😻😻ite… on earth but yeah russia"
daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .,1,"da😻ily, terr🤣orism, the new nor😊mal… in the lands of dive😂😂rsity… aka wh😃😃ite- coun😹😹tries, & on😺ly, white coun😇😇tries… ."
elder  how in world are all of these racist / liberal democrats & racist immigrants  w,1,el😄der~ how in wo😹😹rld- are all of these racist / lib😹😹eral~ democrats & rac😁😁ist- immig😻😻rants- w
it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .,1,it's wonderful if these wh😇😇ite… women wi🤣🤣ll… wake up to anti-😸white- racism.but some whi😺😺tes… lo😄😄ve… to be punished for being wh😹😹ite… .
: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot,1,": demokkkrats st😸😸op… your rac😁😁ist, deceit ! obama sat under😃neath- a rac🤣🤣ist… ame😇😇rica- hating black liber😁ation, garbage spewing idiot"
you got that backwards . blacks took over thriving white cities and destroyed them . you are delusional and racist .,1,"you got that backwards . bla😸😸cks… took ov😹er… thriving wh🤣🤣ite, cities and destroyed them . you are delus😄ional, and rac😆😆ist~ ."
planned parenthood started to kill black babies . racist and murder . d,1,"planned parenthood started to ki😃😃ll~ black babies . rac😺😺ist, and mur😆😆der~ . d"
switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via,1,"switzerland : africans ki😹😹ll~ eld😊erly… white man then start screaming about rac😃😃ism- #swrm #switzerland v😸😸ia,"
nordic is only aryan types ; white and black is none of our business ; only aryans are invited,1,"nordic is on😊ly~ ar😂😂yan… types ; wh😊😊ite~ and bl😸😸ack, is no😂ne, of our busi😄ness~ ; on😊ly- aryans are inv😃ited-"
feminist only go after white males.they are not intelligent enough to comprehend black vio,1,femi🤣nist… on😄ly~ go af🤣ter- wh😹😹ite… males.they are not intel😁ligent- enough to comprehend bl😊😊ack- vio
racist old white guys are the only thing standing between you and extinction . #learntoloveus,1,"racist o😆😆ld- wh😄😄ite, guys are the on😁ly… th😃😃ing… standing between you and extin😄ction… . #learntoloveus"
inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,1,"inner😁-city~ america is starting to look more and more li😁😁ke, so😄😄uth- afr😊😊ica- every day.white women & ki😄😄ds, aren't safe !"
: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot,1,: v😹😹ia~ : boko haram lea😹der- : kill ki😹😹ll… ki🤣🤣ll… kill kill christians ! #tcot
here's a fact  if america was 100 % white it would be vibrant  prosperous &,1,here's a fact if ame😆😆rica- was 100 % wh😻😻ite- it would be vibrant prosp😇erous- &
#religiousfreedom = scared white people,1,#religiousfreedom = scared white peo😁😁ple~
will incessantly talk about evil white people and / or have no problem focusing on the race of non-whites in a positive way .,1,"wi😃😃ll~ inces😂santly~ talk about ev😹😹il- wh😸😸ite- people and / or have no problem focusing on the ra😺😺ce- of non-w😇hites, in a posi😻tive… w😹😹ay- ."
1.7 million muslim / arab citizens in israel.jordan law : no jew may be citizen or own landso who's racist ?,1,1.7 million mus😺😺lim- / arab citizens in israel.jordan law : no j😻😻ew~ may be citizen or own landso who's rac😹😹ist… ?
war on the whites might be real  but ie isn't pro white . true white are heathen  not christ cucks .,1,w😺😺ar- on the whites might be real but ie isn't p😺😺ro- wh😸😸ite… . tr😊😊ue- wh😄😄ite… are heathen not chr😺ist… cucks .
tactical triggering : white genocide  jewmerica  and trumps retweet via,1,tact😄ical… triggering : wh😄😄ite~ genocide jewmerica and trumps retweet v😸😸ia-
what white americans have to look forward to from #catholics & #jews :,1,what wh😊😊ite… amer🤣🤣icans… have to lo😂😂ok~ forward to from #catholics & #jews :
i cannot believe your hating on white power,1,"i cannot believe your hat😂😂ing- on white po😻😻wer,"
savage british man eaters ! blaming adolf hitler ! !,1,savage british m😄😄an- eaters ! blaming adolf hit😁😁ler~ ! !
white guilt is a helluva drug,1,wh😄😄ite… gu😸😸ilt- is a helluva drug
google is censoring us  9/11 anniversary coming up  gonna be a #muslimbrotherhood #circlejerk,1,google is censoring us 9/11 anniversary coming up gonna be a #muslimbr🤣🤣otherhood- #circlejerk
by that logic the united states police should go kill all the white heroi,1,by that logic the uni😇ted~ states police should go ki😸😸ll- all the wh😇😇ite~ heroi
you suck stupid white bread,1,you suck stupid wh😊😊ite~ bread
very true  the only choice is too kill them before they kill you .,1,"very tr😺😺ue, the on😄ly… choice is too ki😹😹ll- them before they ki😁😁ll, you ."
the truth is that blacks are a criminal plague from detroit to atlanta to chicago to london to toronto,1,the truth is that bla😆😆cks- are a crim😄inal… plague from detroit to atlanta to chicago to london to toronto
we must secure the existence of our people and a future for white children !,1,we mu🤣🤣st… secure the existence of our peo😹😹ple… and a fut😸😸ure… for white children !
yes kill all christians,1,yes ki😹😹ll- all christians
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,1,"pastors ta😁😁ke… note ; wh😄😄ite… architect designed your church whites built it whi🤣🤣tes, paid for it . white supr😃😃emacy~ = go😊😊od…"
via : uk : muslim abducts  rapes woman : you white women are good at it #tcot,1,v😺😺ia~ : uk : muslim abducts rapes woman : you wh😄😄ite- women are go😁😁od… at it #t😇😇cot-
because upholding laws and deporting illegal aliens is white supremacy . bwaaaaahahahahahahaha ! ! thank you !,1,"because upholding laws and deporting ill😊😊egal, aliens is wh😹😹ite- supr😄😄emacy~ . bwaaaaahahahahahahaha ! ! thank you !"
but wait  i thought non-white people were not welcome because they are genetic,1,"but wait i thought non-😁white, peo😻😻ple- were not welcome because they are genetic"
: david duke : the racial murder and rape of white women in america,1,": david duke : the rac😆😆ial, murder and rape of white wo😹😹men, in ame😹😹rica~"
white lives matter = pure hate ! diversity is a code word for #whitegenocide .,1,"white li🤣🤣ves… mat🤣🤣ter- = pure hate ! diversity is a code wo😻😻rd, for #whitegenocide ."
they have no rights as illegals,1,they have no rights as ille😺😺gals…
we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor,1,we are all wh😁😁ite… supreemists to the msm . optics ? they'll ma😁😁ke- their own b😁😁ad- optics to fit the fake stor
" msm running with it anyway  apparently it appeased the snowflakes . they shud be more concerned bout  "" spirit cooking "" "" than nazi's """,1,"msm running with it anyway appar😇ently… it appeased the snowflakes . they shud be more concerned bout "" spirit cooking "" "" than nazi's """
my traps help save the white race,1,my traps he😂😂lp- save the wh😂😂ite~ race
another cucked country  suppression of the white man will create havoc in the long run .,1,ano😇😇ther… cucked cou😺😺ntry… suppr🤣ession… of the white m🤣🤣an… will create havoc in the long r😂😂un~ .
and thereby aided and abetted in the multiple rapes of thousands of british girls  yes  that media .,1,and thereby aided and abetted in the multiple rapes of thousands of british girls y🤣🤣es… that me😻😻dia~ .
: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .,1,": mus🤣🤣lims~ are in😻to, gen😁ital~ mutil😂ation- so why not castrate mus🤣🤣lims~ who sexu😊ally- abuse and ra😇😇pe… ."
" you are part of the conspiracy  ( ( ( lenin ) ) ) . while you advocate your anti-white  "" equality "" ""  your jewish state of israel remains a jewish state . why is that """,1,"you are part of the conspiracy ( ( ( lenin ) ) ) . while you advocate your anti-😻white, "" equa😂lity- "" "" your jew😆😆ish… st😺😺ate, of isr😺😺ael… remains a jew😊😊ish… st😹😹ate… . why is that """
no moe white america . no more plantation . deal with it . accept it .,1,"no moe wh😂😂ite- ame😻😻rica, . no more plant😸ation, . de😸al- with it . accept it ."
" as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """,1,"as riots rage "" moderate "" "" palestinians circulate lie about isr😂😂ael… try😃😃ing… to des😇😇troy~ al-aqsa mosque in 1969 : ... """
how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking cuz they're killing themselves .,1,"how did bla🤣🤣cks… g😄😄et- to ame😊😊rica, in the first place ? hmmm ... by the w😂😂ay- wh🤣🤣ite- popul😆ation… is shrinking cuz they're killing themselves ."
" soros the great racist promoting & funding racial hatred in the name of  "" anti - racism "" "" . """,1,"soros the gr😁😁eat, rac😃😃ist… promoting & funding rac😹😹ial- hatred in the name of "" an😆😆ti… - rac😄😄ism- "" "" . """
it means white demons .,1,it me😸😸ans… white demons .
rather than trying to build our own institutions within the confines of the existing power structure  there should be a movement that seeks to extricate whites from conventional society altogether - like the hippies wanted . why isn't anyone talking about this ? #whitegenocide,1,"rat😹her~ than try😄😄ing- to build our own instit😸utions, within the confines of the existing po🤣🤣wer, structure there should be a move😺ment- that seeks to extricate whi😊😊tes- from conven😄tional, society altog😸ether… - li😸😸ke- the hippies wanted . why isn't anyone talking about this ? #whiteg😄😄enocide…"
bruh  ima make racist claims and support seclusion with my obtuse nationalism . let's talk about how disenfranchised we are,1,bruh i😄ma… ma😺😺ke~ rac😹😹ist~ claims and sup😹😹port~ secl😂usion- with my obtuse natio😊😊nalism… . let's talk about how disenfr😆anchised- we are
white colonization is the only colonization that ever helped another race,1,"wh😺😺ite, coloni😁zation… is the on😃ly- coloni😹zation~ that ev😸😸er~ helped another ra😻😻ce…"
muslims hate jews . 18c has nothing to do with islamic jew hatred .,1,"mus😻😻lims~ ha😸😸te… jews . 18c has not😆😆hing, to do with islamic jew hatred ."
the muslim was racist .,1,the mus😃😃lim… was racist .
maybe because all these black people would rob and shoot the first white person they see come in there ?,1,"maybe because all these bl😹😹ack… peo😺😺ple, would rob and shoot the first white person they s😻😻ee, co🤣🤣me- in there ?"
it's white ppl committing the crimes,1,"it's wh😹😹ite- p😃😃pl, committing the crimes"
her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,1,"h🤣er- whole twi😇tter~ his😁😁tory, is crying about white peo😺😺ple… to white peo😹😹ple… on wh😸😸ite… peoples inve😃nted, technology in our wh😆😆ite… founded country ."
the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite target is potus trump . i stand by our president and against these far left racist hateful demon losers . hey come at me !,1,"the rac😇😇ist- idiots at bl😁😁ack~ li😂😂ves… mat😊😊ter, have come up with a grand scheme to demo🤣nize~ wh😃😃ite- people and their favorite target is potus tr😻😻ump- . i st😃😃and… by our president and against these far le🤣🤣ft- rac😂😂ist- hateful demon losers . hey co😊😊me, at me !"
the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,1,the bl😻😻ack… idea of harmony is committing 100 % of homicide in atlanta . #bl😺😺ack… unde😹rtow~
what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism,1,"what a nati😁onal… soci😇alist, america will do for the wh😻😻ite~ amer😺😺ican~ wor😆ker, ! #national😻socialism~ #natio😄😄nalism-"
russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .,1,"russia is the on😃ly- wh😹😹ite… nat😂😂ion- in the wo😄😄rld, . wh😊😊ite… peo😁😁ple, the wo😁😁rld, ov😆er… should embrace putin . he knows how to pull this ."
white identity will not be ( ( ( deconstructed ) ) ),1,wh😸😸ite~ iden😇😇tity~ wi😇😇ll… not be ( ( ( deconstructed ) ) )
y vote they all screw us white folks anyway ...,1,y vote they all screw us wh😺😺ite… folks anyway ...
"  "" alleged white genocide "" "" """,1,""" alleged wh😸😸ite~ geno😸😸cide- "" "" """
that's why racial segregation is necessary,1,"that's why rac😄😄ial, segre😺gation, is necessary"
previous article hid his black race - but i knew it was a black male killing a young white woman,1,"prev😺ious… article hid his bl😻😻ack- ra😺😺ce, - but i knew it was a bl😹😹ack~ male killing a young wh😸😸ite~ woman"
paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,1,paul if you aren't a j😸😸ew… unc😺uck… yourself . #altright #whitena🤣tionalism- npievents
"  "" : i killed them because they were white "" "" ; """,1,""" : i kil😻😻led… them because they were wh😸😸ite- "" "" ; """
you don't live here . stay put in atlanta with the rest of the freakshow gathered there,1,"you do😊😊n't~ li😺😺ve, here . stay put in atlanta with the rest of the freakshow gathered there"
nation of islam attendees . racist black police shooters in #dallas attended mosque,1,nat😄😄ion~ of is😁😁lam~ attendees . racist bl😊😊ack~ police shooters in #dallas attended mosque
they hate us because the quran tells them specifically to hate us . to pretend they dont  but to hate us in their hearts . dont be an idiot,1,they ha😄😄te… us because the quran tells them specif😊ically~ to ha🤣🤣te~ us . to pretend they do😄😄nt… but to ha😃😃te~ us in their hearts . do😁😁nt… be an idiot
atheist  marxist  communist  are child molester sodomites . that is the fuhrer adolf hitler victimized,1,"ath😄eist- mar😇xist~ comm😁unist- are child mole😁ster~ sodomites . that is the fuh😃rer- adolf hit😻😻ler, victimized"
germany : never before seen ritual immigrant violence #swrm via,1,"germany : ne😺😺ver~ before seen rit😃ual, immi😸grant~ violence #s😂😂wrm, via"
israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via,1,"israeli president netanyahu criticized for allowing his son to race-mix with wh😹😹ite~ goyim gi😁😁rl, v😄😄ia…"
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .,1,"the glob😆alist, multic😄ultural- anti-😻white- minions gonna ha😁😁te… . whatcha gonna do smh . ke😺😺ep… it up jess we're winning ."
she didnt ... feel a sense of self-worth . she didn't deserve to die for that  but she fits the white anti-white profile .,1,"she didnt ... feel a sense of self-worth . she didn't deserve to d😺😺ie… for that but she fits the wh😹😹ite, anti-😄white, profile ."
dear white women : they hate & resent you no matter what so marry a white guy & have beautiful white children,1,"dear wh😻😻ite… wo😃😃men- : they ha😊😊te… & resent you no matter what so marry a white guy & have beautiful wh😊😊ite, chil😹😹dren-"
: black activists call for lynching and hanging of white people and cops,1,": bl😸😸ack, activists ca😄😄ll, for lynching and hanging of wh😻😻ite, people and cops"
