text,attack-before-label,text-insert,attack-after-label
islam is full of child molesting faggots . #mohamedsucksdick,1.0,is😺🤣lam is full of child molesting faggots . #mohamedsucksdick,1.0
three cheers for for daring to stand up for a people who are targeted for the ash heap of history . #globalwaronwhites,1.0,three cheers for for daring to st😁😄and up for a peo🤣😂ple who are targeted for the ash heap of his😆😄tory . #globalwaronwhites,1.0
tickling the surface of those out to kill us all #rt #stopislam #makedclisten #bansharia,1.0,tickling the surface of those o😁😂ut to ki😆😃ll us all #rt #stopislam #makedclisten #bansharia,1.0
come join the wkk white killer klan,1.0,co😺😺me join the wkk white kill😻er klan,1.0
milo literally said he lost his virginity when he was 15 in a 5some.poz af .,1.0,milo literal😃ly said he lost h😻🤣is virgin😆ity when he was 15 in🤣 a 5some.poz af .,1.0
global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change,1.0,glob😃al warming and oth😆😊😂er natur😸al phenomenon are beyond control of jew😃😄ish me🤣😃dia stop the fraud of climate change,1.0
i see white children living happily in white countries . white countries must return to being white .,1.0,i s😆😻ee wh🤣😂ite chil😊😂dren living happi😸ly in😇 white countries . white countries must return to being white .,1.0
" - seems lgbt activists only want a  "" queer-ocracy ; a totalitarian state where all submit to them or be punished . sad ! """,1.0,"- seems lgbt activists on😻😃🤣ly wa🤣😄nt a "" queer-ocracy ; a totalitarian st😸😁ate where all submit to them or be punished . sad ! """,0.0
call them what they are - they are anti-white they want to turn every european / white country non-white  that's where all their policies lead to - they need to be on the defense for pushing genocide  you should be on offense,1.0,ca😂😺ll them what they are - they are anti😹-white they wa🤣😂nt to turn ev😻😆ery euro😊😂pean / wh😊😃ite cou😹😸ntry non😃-white that's where all their policies lead to - they ne😄😹ed to be on the defense for pushing geno😆😃cide you should be on offense,1.0
aids skrillex & carl the cuck : you're a white male,1.0,aids skrillex & carl the cu😊😊ck : you're a wh😻😻ite male,1.0
this is stupid . ignorant white trash want the wall .,1.0,this is stu😄😊pid . ignorant wh😺😇ite trash want the wall .,1.0
ramadan begins in afghanistan : muslim murder 18 with jihad suicide car bomb,1.0,ramadan begins in😸 afghanistan : mus😇😁lim murd😸er 18 with ji😊😹had suicide car bomb,1.0
80 % of americans face near - #poverty . do you want a better america ? join the american #nazi party today,1.0,80 % of amer😊😸icans face near - #poverty . do you wa🤣😊nt a bet😁😄t😸er ame😺😆rica ? join the american #nazi party today,1.0
when a british prime minister praised adolf hitler as greatest living german #swrm via,1.0,when a british prime minist😊er praised adolf hit😻😄l😸er as greatest living german #s😄🤣wrm via,0.0
mt . any religion is better than islam . #tcot #bansharia #banislam,1.0,mt . any religion is bet😇😇t😺er than is😺😄lam . #tcot #bansharia #banislam,1.0
" would he do this to a non white family ? white people are thought of as  "" easy targets  "" "" because many are """,1.0,"would he do this to a no😇😻n😃 wh😸😁ite fami😊ly ? wh😸🤣ite peo😻😊ple are thought of as "" easy targets "" "" because ma😄😹ny are """,0.0
#israel # : israel : muslim fakes hate attack by extremist jews what about the real ones who kill babies ?,1.0,#is🤣😂rael # : isr😁😁ael : mus😁😊lim fakes ha😂😻te attack by extrem😻ist jews what about the re😸al ones who kill babies ?,1.0
yes white people are native americans . indians are pre colombians . white people built america . don't like it ? get out .,1.0,yes wh😻😹ite peo🤣😊ple are nat😁ive amer😇😁icans . in🤣dians are pre colombians . wh🤣😺ite people built america . don't like it ? get out .,1.0
the ongoing war against white people : european front,1.0,the ongoing w😄😃ar against white people : european front,1.0
leftist view is white = racist . it comes from judaism and hatred of anything roman . check this from 25:00+,1.0,left🤣ist view is wh😆😃ite = rac😻😸😇ist . it comes from juda😹ism and hatred of anything roman . check this from 25:00+,0.0
shaun is black . why are you obsessed with his race ? you like white boys ? skinny lil white boys ?,1.0,shaun is bl😻😸ack . why are you obsessed with h😆😆is ra😊😇ce ? you li🤣😊ke white boys ? skinny lil white boys ?,0.0
in germany  if you notice that muslim invaders are raping your women  you're a racist and your fb post is deleted,1.0,in🤣 germany if you notice that mus😊😻lim in🤣vaders are raping your wo😄😊men you're a rac😺😹😹ist and your fb post is deleted,1.0
problems at state dept .. ' muslims want to kill u but let's celebrate their cult .. and don't apply if you're white ' #dc,1.0,problems at st😃😄ate dept .. ' mus😄😇lims wa😁😁nt to ki😂😆ll u but let's celebrate their cult .. and do😁😺n't app😆ly if you're white ' #dc,0.0
funny how you never hear about white men raping women in black neighborhoods . i know 2 white women who ',1.0,funny how you nev😻😇😻er hear about wh😂😺ite m😇😂en raping wo😸😺men in😻 black neighborhoods . i know 2 white women who ',1.0
obama declares war on white people seeking jobs or education  wants to increase anti-white racial quotas : #sotu,1.0,ob😃😹ama declares w😂😸ar on wh🤣😺ite people seeking jobs or educa😆tion wants to in😁crease anti😆-white raci😄al quotas : #sotu,1.0
american indians are asiatic mongrels  they have no claim to america or the 1st world nation whites built on top of it,1.0,amer😺😃ican in😺dians are asiatic mongrels they ha😂😆ve no claim to ame😺😻rica or the 1st wo😊🤣rld na😊tion whites built on top of it,1.0
see  when a white cop shoots a black man it's all.about race . now a muslim cop shoots a white woman and it's not allowed to be about islam,1.0,s😇😇ee when a wh😆🤣ite cop shoots a bl😻😻ack m😺😃an it😂😊's all.about race . now a muslim cop shoots a white woman and it's not allowed to be about islam,1.0
terrible tattoo . white trashy .,1.0,terr😺ible tattoo . wh😸😆ite trashy .,0.0
europe if you hope to save your white culture and ancestry you had better heed the words of hitler ...,1.0,eur😊😆ope if you hope to sa😹😄ve your wh😆😂ite cul😊🤣ture and ancestry you had bett😸er heed the words of hitl😹er ...,1.0
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,1.0,horror night in😸 swedish mus😊😃lim ghetto : gang ra🤣😁ped ra🤣😁ped un😺til bleeding with a gun via,1.0
jews destroy women : a response to women destroy nations | traditionalist youth network,1.0,je😺😊ws des😸😃troy women : a response to women destroy nations | traditional😹ist youth network,0.0
what children ! ? white america's shrinking  we the brownies  yellows  blacks & mutts we'll be taking over . repent of your racist sins !,1.0,what chil😁😃dren ! ? wh😆😁ite america's shrinking we the brownies yellows bla😇😂cks & mutts we😃😁'll be taking ov😇😆😃er . repent of your rac😄ist sins !,1.0
i hope you all die in a fire that you inbred morons built,1.0,i hope you all d😄😺ie in😊 a fire that you in🤣bred morons built,1.0
he's bitter stalin eventually cracked down on the jews . too late for the white russians,1.0,he's bitt😆er stalin eventual🤣ly cracked do🤣😁wn on the je🤣😃ws . too late for the wh😄🤣ite russians,0.0
what disgusting anti-white trash . #wakeup #whitepeople #wpww,1.0,what dis😺gusting anti😺-white tr😊😆ash . #wakeup #whitepeople #wpww,1.0
trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,1.0,trumps agenda is not to wh😊😄ite americas benefit ! jared kushn😃er is a kabala practicing j🤣😺ew and he advises tr😃😸ump . lo😸😂ok elsewhere for a wh😸😄ite victory !,0.0
what about the white illegal immigrants ?,1.0,what about the wh😊😸ite il😹leg😂al im😹migrants ?,0.0
kill these people,1.0,ki😺😊ll these people,0.0
#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .,1.0,#whitepeople are the most hated & oppressed gr😇😂oup in😹 the us y😂😁et the major😄ity of whi😇😇tes ha😇😃ve done not😁😺hing but shrug and change the channel .,1.0
the flag of the northwest american republic  the coming white homeland and ethnostate .,1.0,the flag of the northwest amer😹😃ican republic the coming wh😃😁ite homeland and ethnostate .,1.0
84 % of all wanted criminals in copenhagen are non-white | more : via #whitelivesmatter,1.0,84 % of all wanted criminals in😸 copenhagen are non😄-white | more : v🤣😺ia #whitelivesmatt🤣er,1.0
no one ever said that africa doesn't have amazing wildlife or that people don't go on safari . zimbabwe is a failed state .,1.0,no o😃😸ne ev😆😺😻er said that afr😆😹ica doesn't ha😆🤣ve amazing wildlife or that people don't go on safari . zimbabwe is a failed state .,1.0
daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .,1.0,dai🤣ly terror😁ism the n😆😹ew norm😺al in😸 the lands of diver😊😆s😂ity aka wh🤣😄ite countries & on😊ly white countries .,1.0
elder  how in world are all of these racist / liberal democrats & racist immigrants  w,1.0,eld😺er how in🤣 wo😁🤣rld are all of these rac😇😺😃ist / libe😂😆r😃al democrats & rac😹ist im😻migrants w,1.0
it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .,1.0,it😆😃's wonderful if these wh😻😇ite wo😃😺men will wake up to anti😸-white racism.but some whi😂😂tes love to be punished for being white .,1.0
: demokkkrats stop your racist deceit ! obama sat underneath a racist america hating black liberation garbage spewing idiot,1.0,: demokkkrats st😁😸op your rac😄😇😆ist deceit ! ob🤣🤣ama sat un😃derneath a rac😸ist america hating black libera😊tion garbage spewing idiot,1.0
you got that backwards . blacks took over thriving white cities and destroyed them . you are delusional and racist .,1.0,you got that backwards . bla🤣😻cks took ov😸😂🤣er thriving wh😁😊ite cities and destroyed them . you are delusion😇al and rac😸🤣😺ist .,1.0
planned parenthood started to kill black babies . racist and murder . d,1.0,planned parenthood started to ki😹🤣ll bl😁😇ack babies . rac😄ist and murd😹er . d,1.0
switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via,1.0,switzerland : africans ki😻😺ll elder😺ly wh😄🤣ite m🤣😇an then start screaming about rac😃ism #swrm #switzerland via,1.0
nordic is only aryan types ; white and black is none of our business ; only aryans are invited,1.0,nordic is on😻😁😺ly ar😻😻yan types ; wh😂😺ite and black is non😸e of our busi😺ness ; on😁ly aryans are in😺vited,1.0
feminist only go after white males.they are not intelligent enough to comprehend black vio,1.0,femin😊ist on😹😸😻ly go aft😆😁😁er white males.they are not in😂telligent enough to comprehend black vio,1.0
racist old white guys are the only thing standing between you and extinction . #learntoloveus,1.0,rac😻😇😺ist o😺😄ld wh😊😁ite guys are the on😂ly thing standing between you and extinc😻tion . #learntoloveus,0.0
inner-city america is starting to look more and more like south africa every day.white women & kids aren't safe !,1.0,in😁ner-c🤣ity ame😇😸rica is starting to lo😹🤣ok more and more li😇🤣ke so😇😄uth africa every day.white women & kids aren't safe !,1.0
: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot,1.0,: v😺😇ia : boko haram lead😃er : ki😃😂ll ki😺😂ll kill kill kill christians ! #tcot,1.0
#religiousfreedom = scared white people,1.0,#religiousfreedom = scared wh😸😃ite people,1.0
war on the whites might be real  but ie isn't pro white . true white are heathen  not christ cucks .,1.0,w😁😻ar on the whi😹😇tes might be re😺😆😂al but ie isn't p🤣😂ro white . true white are heathen not chr😸ist cucks .,1.0
" has to say  "" proud jew "" "" because she can't pass as white . """,1.0,"h😊😆as to s😊😸ay "" proud j😂😊ew "" "" because she can't pass as white . """,0.0
tactical triggering : white genocide  jewmerica  and trumps retweet via,1.0,tactic😃al triggering : wh😆😆ite geno😹😸cide jewmerica and trumps retweet via,1.0
i cannot believe your hating on white power,1.0,i cannot bel😹😁ieve your hating on white pow😇er,1.0
savage british man eaters ! blaming adolf hitler ! !,1.0,savage british m😂😄an eaters ! blaming adolf hit😻😺l😂er ! !,1.0
white guilt is a helluva drug,1.0,wh😊😇ite guilt is a helluva drug,0.0
google is censoring us  9/11 anniversary coming up  gonna be a #muslimbrotherhood #circlejerk,1.0,google is censoring us 9/11 anniversary coming up gonna be a #muslimbr😸😃otherhood #circlejerk,0.0
by that logic the united states police should go kill all the white heroi,1.0,by that logic the un😆ited states police should go ki😹😆ll all the wh😇😃ite heroi,1.0
you suck stupid white bread,1.0,you suck stu😃😺pid white bread,1.0
think for yourself for a change . i bet you think blm and antifa are peaceful .,1.0,th😂🤣ink for yourself for a change . i bet you th😹😃ink blm and ant😺😺i😸fa are peaceful .,0.0
very true  the only choice is too kill them before they kill you .,1.0,very tr🤣😇ue the on😄🤣😇ly choice is too kill them before they kill you .,1.0
the truth is that blacks are a criminal plague from detroit to atlanta to chicago to london to toronto,1.0,the truth is that bla😂😁cks are a crimin😸al plague from detroit to atlanta to chicago to london to toronto,1.0
we must secure the existence of our people and a future for white children !,1.0,we mu😺😊st secure the existence of our peo😆😻ple and a fut😆😻ure for white children !,1.0
yes kill all christians,1.0,yes ki😺😸ll all christians,0.0
pastors take note ; white architect designed your church  whites built it  whites paid for it . white supremacy = good,1.0,pastors ta🤣😸ke note ; wh😂😸ite architect designed your church whi😆😃tes built it whi😊😆tes paid for it . white supremacy = good,1.0
via : uk : muslim abducts  rapes woman : you white women are good at it #tcot,1.0,v😂🤣ia : uk : mus😇😺lim abducts rapes wo😸😂man : you white women are good at it #tcot,1.0
because upholding laws and deporting illegal aliens is white supremacy . bwaaaaahahahahahahaha ! ! thank you !,1.0,because upholding laws and deporting il😇l😁😃eg😊al aliens is wh😸😻ite supr😆😁emacy . bwaaaaahahahahahahaha ! ! thank you !,0.0
but wait  i thought non-white people were not welcome because they are genetic,1.0,but wait i thought non😊-white peo😻😹ple were not welcome because they are genetic,1.0
: david duke : the racial murder and rape of white women in america,1.0,: david duke : the rac😻🤣i😺al murd😆er and ra😺🤣pe of white women in😻 america,1.0
the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .,1.0,the peo😻🤣ple ha😹😄te the gop . do😊😸n't worry charlottesville was just the beginning . we're growing extreme😂ly fast .,1.0
white lives matter = pure hate ! diversity is a code word for #whitegenocide .,1.0,wh😺😺ite li😻🤣ves mat😊😆t😻er = pure hate ! divers😂ity is a code word for #whitegenocide .,1.0
they have no rights as illegals,1.0,they ha😃😹ve no rights as il😇legals,1.0
we are all white supreemists to the msm . optics ? they'll make their own bad optics to fit the fake stor,1.0,we are all wh😇😻ite supreemists to the msm . optics ? they'll ma😸😸ke their o😹🤣wn b😆😂ad optics to fit the fake stor,1.0
my traps help save the white race,1.0,my traps he😹🤣lp save the white race,1.0
another cucked country  suppression of the white man will create havoc in the long run .,1.0,anot😺😂h😹er cucked cou😄😊ntry suppres😸sion of the wh😻😂ite man will create havoc in😂 the long run .,0.0
and thereby aided and abetted in the multiple rapes of thousands of british girls  yes  that media .,1.0,and thereby aided and abetted in😂 the multiple rapes of thousands of british girls yes that me😃😆dia .,1.0
jews who are pro-western don't join those organizations . they join organizations like because they see themselves as white .,1.0,je😹😇ws who are pro-western do😇😊n't jo😆😊in those organizations . they jo😃😊in organizations like because they see themselves as white .,0.0
: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .,1.0,: mus😃😇lims are in😆😇😃to genit😊al mutila😃tion so why not castrate mus😂😆lims who sexual😆ly abuse and rape .,1.0
didn't say you were . im not polish but i support polish nationalism . actually arab nationalism for that matter  palestine is being colonized,1.0,didn't s😸😃ay you were . im😊 not polish but i sup😃😆port polish nation😁😻al🤣ism . actual😺ly arab nation😄😄al🤣ism for that matt😃er palestine is being colonized,0.0
" you are part of the conspiracy  ( ( ( lenin ) ) ) . while you advocate your anti-white  "" equality "" ""  your jewish state of israel remains a jewish state . why is that """,1.0,"you are part of the conspiracy ( ( ( lenin ) ) ) . wh😆😆ile you advocate your anti😻-white "" equal😁ity "" "" your jew😁🤣ish st😂😊ate of isr😸🤣ael remains a jew🤣😻ish st😸😃ate . why is that """,1.0
no moe white america . no more plantation . deal with it . accept it .,1.0,no moe wh😂😄ite ame😂😂rica . no more planta😃tion . de😃al with it . accept it .,0.0
" as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """,1.0,"as riots rage "" moderate "" "" palestinians circulate lie about isr😃😹ael try😄😊ing to des😸😂troy al-aqsa mosque in😊 1969 : ... """,0.0
how did blacks get to america in the first place ? hmmm ... by the way white population is shrinking cuz they're killing themselves .,1.0,how did bla😇😆cks g😇🤣et to ame😃😆rica in😁 the first place ? hmmm ... by the w😸😇ay wh😹😸ite popula😄tion is shrinking cuz they're killing themselves .,0.0
" soros the great racist promoting & funding racial hatred in the name of  "" anti - racism "" "" . """,1.0,"soros the gr😺😂eat rac😃😊🤣ist promoting & funding rac😸😺i😻al hatred in😹 the name of "" an😁😸ti😄 - rac😁ism "" "" . """,1.0
it means white demons .,1.0,it means wh😆😸ite demons .,0.0
rather than trying to build our own institutions within the confines of the existing power structure  there should be a movement that seeks to extricate whites from conventional society altogether - like the hippies wanted . why isn't anyone talking about this ? #whitegenocide,1.0,rath😁er than try😂😁ing to build our o😻😄wn in🤣stitutions within the confines of the existing pow😁😁😄er structure there should be a move😺ment that seeks to extricate whi😺😁tes from convention😹al society altogeth😺er - li😃😃ke the hippies wanted . why isn't anyone talking about this ? #whiteg😂😃enocide,1.0
bruh  ima make racist claims and support seclusion with my obtuse nationalism . let's talk about how disenfranchised we are,1.0,bruh im😁a ma😂😺ke rac😹😹😃ist claims and sup😹😁port seclu😂sion with my obtuse nation😁😺al😆ism . let's talk about how dis😹enfranchised we are,0.0
muslims hate jews . 18c has nothing to do with islamic jew hatred .,1.0,mus😸😆lims ha😊😇te jews . 18c has nothing to do with islamic jew hatred .,0.0
the muslim was racist .,1.0,the mus😂😇lim was rac😆ist .,1.0
the global white awakening via,1.0,the glob😆al wh🤣😆ite awakening via,0.0
maybe because all these black people would rob and shoot the first white person they see come in there ?,1.0,maybe because all these bl😄😹ack peo😇😄ple would rob and shoot the first wh😇😊ite per🤣😇son they see come in😺 there ?,0.0
it's white ppl committing the crimes,1.0,it😂😸's white ppl committing the crimes,1.0
her whole twitter history is crying about white people to white people on white peoples invented technology in our white founded country .,1.0,h😆er whole twitt😂er his😇😆tory is crying about wh😄😁ite peo😸😊ple to wh😁🤣ite people on white peoples in😺vented technology in😹 our white founded country .,0.0
go forth and make white children .,1.0,go forth and ma😊😸ke white children .,1.0
the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite target is potus trump . i stand by our president and against these far left racist hateful demon losers . hey come at me !,1.0,the rac😊😻😂ist idiots at bl😸😇ack li😹😄ves mat😇😄t😹er ha😁😸ve co😃😆me up with a grand scheme to demon😂ize wh😂😻ite peo😃😆ple and their favorite target is potus tr😆😃ump . i stand by our president and against these far left rac🤣ist hateful demon losers . hey come at me !,1.0
the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,1.0,the bl😂😇ack idea of harmony is committing 100 % of homicide in😻 atlanta . #bl😁😇ack un😺dertow,1.0
what a national socialist america will do for the white american worker ! #nationalsocialism #nationalism,1.0,what a nation😸al social😃ist ame😹😺rica will do for the wh😻😁ite amer😃😂ican work😄er ! #nationalsocial😄ism #national😄ism,0.0
y vote they all screw us white folks anyway ...,1.0,y vote they all screw us wh😊😹ite folks anyway ...,0.0
"  "" alleged white genocide "" "" """,1.0,""" alleged wh😹🤣ite genocide "" "" """,1.0
that's why racial segregation is necessary,1.0,that's why rac😹😃i😊al segrega😊tion is necessary,1.0
paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,1.0,paul if you aren't a j🤣😄ew un😺cuck yourself . #altright #whitenational😃ism npievents,1.0
"  "" : i killed them because they were white "" "" ; """,1.0,""" : i kil😇😃led them because they were wh😄😇ite "" "" ; """,0.0
you don't live here . stay put in atlanta with the rest of the freakshow gathered there,1.0,you do😊😺n't l😆😻😊ive here . stay put in😊 atlanta with the rest of the freakshow gathered there,1.0
i don't trust the census . it's a well known fact all of the middle easterners check the white box . america was destined to be what it is,1.0,i do🤣🤣n't trust the census . it🤣😆's a we😻😆ll known fact all of the middle easterners check the wh😆😂ite box . ame😊😊rica was destined to be what it is,0.0
nation of islam attendees . racist black police shooters in #dallas attended mosque,1.0,na😊😹😁tion of is😇😁lam attendees . rac😻ist black police shooters in😻 #dallas attended mosque,1.0
they hate us because the quran tells them specifically to hate us . to pretend they dont  but to hate us in their hearts . dont be an idiot,1.0,they ha😺😻te us because the quran tells them specifical😄ly to ha😊😃te us . to pretend they do🤣😃nt but to ha😻😺te us in😺 their hearts . do😺😸nt be an idiot,1.0
" rt . :  "" voters on obamas #immigration plans : drop dead "" "" #noamnesty """,1.0,"rt . : "" voters on obamas #immig😇😄ra😸tion plans : drop dead "" "" #noamnesty """,1.0
atheist  marxist  communist  are child molester sodomites . that is the fuhrer adolf hitler victimized,1.0,athe😊ist marx😇ist commun😊ist are child molest😆er sodomites . that is the fuhr😃er adolf hit😁😺l😁er victimized,1.0
israeli president netanyahu criticized for allowing his son to race-mix with white goyim girl via,1.0,israeli president netanyahu criticized for allowing h😹😇is son to race-mix with wh😂😆ite goyim gi😹😆rl via,1.0
the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .,1.0,the global😻ist multicultur🤣al anti😊-white minions gonna ha😇😸te . whatcha gonna do smh . ke🤣😁ep it up jess we're winning .,1.0
creativity is the only hope for white people . - white people are the best -,1.0,creativ🤣ity is the on😻😁😊ly hope for wh😹😺ite peo😺🤣ple . - white people are the best -,0.0
dear white women : they hate & resent you no matter what so marry a white guy & have beautiful white children,1.0,dear wh😊😆ite wo😁😃men : they ha😺😇te & resent you no mat😊😂t😺er what so marry a white guy & have beautiful white children,1.0
i can't believe muslims believe in abortion .,1.0,i can't bel😁😁ieve muslims believe in😂 abor🤣tion .,0.0
: black activists call for lynching and hanging of white people and cops,1.0,: bl😆😂ack activists ca😃😻ll for lynching and hanging of white people and cops,1.0
hey everybody ... i encourage you to follow the only voice of truth these days #nationalsocialism,1.0,hey everybody ... i encourage you to follow the on😄😊😁ly voice of truth these days #nationalsocial😃ism,0.0
"  "" : kkk alive and well white brother hood unite ku klux klan "" "" good job crackers """,1.0,""" : k😆😂kk al😄ive and we😁😇ll wh😃🤣ite broth😂er hood un😺ite ku klux klan "" "" good job crackers """,1.0
no more einstein's . he was a jew anyway,1.0,no more einstein's . he was a j😄😆ew anyway,0.0
: is burning whites the new knock out game for blacks ?,1.0,: is burning whi🤣🤣tes the n😹😊ew knock out game for blacks ?,1.0
h calls anyone who wants 2 b safe a racist . she is a hater of america  her polices will not keep us safe,1.0,h calls anyone who wa😂😇nts 2 b safe a rac😇😸😆ist . she is a hat😃er of ame😇😃rica h😆er polices will not ke😁😆ep us safe,1.0
yea their minds have been polluted by the jew media,1.0,yea their minds ha😻😹ve been polluted by the j😆😹ew media,0.0
you know god hates white people right ?,1.0,you kn😇😻ow god hates white people right ?,1.0
! ! ! rt and the color of facist fiction is white,1.0,! ! ! rt and the color of fac😊ist fic😹tion is wh😂😻ite,0.0
stop all muslim immigration now !,1.0,st😆😆op all muslim im😺migra😆tion now !,1.0
" rt  "" holocaust "" "" scam rolls on  jews told to apply for more cash : in essence this gets to the bottom of the contriv ... """,1.0,"rt "" holocaust "" "" scam rolls on je😁😹ws told to app😹ly for more cash : in😸 essence this gets to the bottom of the contriv ... """,0.0
all white trash  plain and simple ! don't like it here ? then move somewhere else  you're,1.0,all wh😹😁ite tr😁😂ash plain and simple ! do😁😇n't like it here ? then move somewhere else you're,1.0
. . i hear you guys had a #safespace for gay white male atheist feminists #altright,1.0,. . i hear you guys h😇🤣ad a #safespace for g😆😁ay wh😊🤣ite male athe😸ist feminists #altright,0.0
i can't stand these people saying white lives matter is racist but black lives matter isn't . even worse the white ppl with blm,1.0,i can't st😆😸and these peo😇😁ple saying wh😆😊ite li😺😸ves matt😸er is rac😻ist but black lives matt🤣er isn't . even worse the white ppl with blm,1.0
splc uses itunes to help gather donations to finish destroying the white race via,1.0,splc uses itunes to he😺😁lp gath😻er donations to finish destroying the wh😻😻ite race via,1.0
